family_key,family_label,blocks,n_active,order_label,order_pretty,levels,screen_fidelity,screen_duration_ns,screen_gate_depth,replay_n12_fidelity,replay_n12_leakage,replay_n12_unitarity_error
drcpsqr,D + R + CPSQR,4,4,RDCP,R > D > CPSQR,0-1-2-3,0.9364674778145604,1178.0,13,0.9305698750072224,0.06680174159888363,5.208624039913252e-15
drcpsqr,D + R + CPSQR,5,4,DRCP,D > R > CPSQR,0-1-2-3,0.9316441870340089,1495.0,16,0.9138726691200934,0.2073816528433725,5.180396675438681e-15
drcpsqr,D + R + CPSQR,4,3,RDCP,R > D > CPSQR,0-1-2,0.9051424040580889,1177.0,13,0.905522326456113,0.11288629168956277,4.6874122121332035e-15
drcpsqr,D + R + CPSQR,5,3,DRCP,D > R > CPSQR,0-1-2,0.9051699534216909,1502.0,16,0.8976611519402021,0.23297231396358442,4.8740361195237226e-15
drcpsqr,D + R + CPSQR,5,4,DCPR,D > CPSQR > R,0-1-2-3,0.878140217176901,1461.0,16,0.8771017659533344,0.10124705196644435,4.5412959975278596e-15
drcpsqr,D + R + CPSQR,4,4,CPDR,CPSQR > D > R,0-1-2-3,0.867858106317283,1186.0,13,0.8669769006714539,0.04208697023603447,1.6489567018072074e-14
drcpsqr,D + R + CPSQR,5,3,DCPR,D > CPSQR > R,0-1-2,0.8678320275270675,1423.0,16,0.8649976529037915,0.1212787571616114,4.30771310339574e-15
drcpsqr,D + R + CPSQR,4,3,CPDR,CPSQR > D > R,0-1-2,0.86347747815398,1187.0,13,0.8626059185451439,0.055146052255342415,1.7950405421514835e-14
drcpsqr,D + R + CPSQR,4,4,CPRD,CPSQR > R > D,0-1-2-3,0.8558347360719003,1185.0,13,0.8549414456068358,0.05166126710102392,7.511266181334554e-15
drcpsqr,D + R + CPSQR,5,4,CPRD,CPSQR > R > D,0-1-2-3,0.8529884964252873,1487.0,16,0.8527271654422119,0.07792199607969752,6.272314633173001e-15
drcpsqr,D + R + CPSQR,4,3,CPRD,CPSQR > R > D,0-1-2,0.8518772882130456,1187.0,13,0.8505697514704501,0.059191133060155776,8.102344000416863e-15
drcpsqr,D + R + CPSQR,5,3,CPDR,CPSQR > D > R,0-1-2,0.85156496644601,1471.0,16,0.8490492954369795,0.0934625885722048,4.764466428297593e-15
drcpsqr,D + R + CPSQR,5,4,RDCP,R > D > CPSQR,0-1-2-3,0.8617016901289408,1486.0,16,0.8445093539878211,0.2509993469606544,5.787954238340751e-15
drcpsqr,D + R + CPSQR,5,2,DRCP,D > R > CPSQR,0-1,0.8477997793539732,1483.0,16,0.8433161929511614,0.2523949892906798,4.3286111695212795e-15
drcpsqr,D + R + CPSQR,5,4,CPDR,CPSQR > D > R,0-1-2-3,0.8429602262392732,1475.0,16,0.8425106059312854,0.08435547064472593,4.874936827397939e-15
drcpsqr,D + R + CPSQR,5,2,RDCP,R > D > CPSQR,0-1,0.8370778002581232,1492.0,16,0.8351596029058067,0.2633003457654125,4.943752601423572e-15
drcpsqr,D + R + CPSQR,4,4,DCPR,D > CPSQR > R,0-1-2-3,0.8321000430459548,1169.0,13,0.8318908221951725,0.04568497530202209,4.486550998806245e-15
drcpsqr,D + R + CPSQR,5,1,RDCP,R > D > CPSQR,0,0.815699140848146,1455.0,16,0.8139398063480477,0.39224183884326,6.88823010638688e-15
drcpsqr,D + R + CPSQR,5,3,CPRD,CPSQR > R > D,0-1-2,0.8099651472611437,1460.0,16,0.809957231686893,0.11881452884563237,1.3800480329112057e-14
drcpsqr,D + R + CPSQR,5,1,CPRD,CPSQR > R > D,0,0.8157236573571988,1444.0,16,0.8086735832250013,0.4051980186220482,5.617605436549016e-15
drcpsqr,D + R + CPSQR,5,1,DRCP,D > R > CPSQR,0,0.8097195737209426,1493.0,16,0.800709683657368,0.43177316081483275,6.126956506844128e-15
drcpsqr,D + R + CPSQR,5,3,RDCP,R > D > CPSQR,0-1-2,0.7989002046658693,1490.0,16,0.7980360085469136,0.331665835288561,4.195571035036549e-15
drcpsqr,D + R + CPSQR,3,3,DRCP,D > R > CPSQR,0-1-2,0.8038071820032529,874.0,10,0.7953452833642078,0.3485407064708167,4.769880237083138e-15
drcpsqr,D + R + CPSQR,4,4,RCPD,R > CPSQR > D,0-1-2-3,0.7922330378593326,1201.0,13,0.7906449262515132,0.11991324090917366,1.4669798530517817e-14
drcpsqr,D + R + CPSQR,4,1,CPDR,CPSQR > D > R,0,0.7894645432240763,1155.0,13,0.7888180413785366,0.3222886079252246,7.725731509187518e-15
drcpsqr,D + R + CPSQR,4,1,RCPD,R > CPSQR > D,0,0.7869034188937172,1269.0,13,0.7866809628204285,0.3557303531245256,2.7820644722785006e-14
