family_key,family_label,blocks,n_active,order_label,levels,n12_optimized_fidelity,n12_physical_fidelity,n12_leakage_worst,status
drsqr,D + R + SQR,5,4,RDS,0-1-2-3,0.9996347038280087,0.9996347038280087,0.0007773497078904512,retained
drsqr,D + R + SQR,4,3,RDS,0-2-3,0.9990802382203816,0.9990802382203816,0.0020671554064066733,retained
drsqr,D + R + SQR,5,4,SRD,0-1-2-3,0.9988645242592731,0.9988645242592731,0.003119347234236569,retained
drsqr,D + R + SQR,5,4,SDR,0-1-2-3,0.9988595474464668,0.9988595474464669,0.0035525748450424555,retained
drcpsqr,D + R + CPSQR,5,2,DRCP,1-2,0.9974916564874693,0.9974916564874692,0.005423136287888486,retained
drcpsqr,D + R + CPSQR,5,4,DCPR,0-1-2-3,0.9969176977205214,0.9969176977205213,0.005715889538879582,retained
drsqr,D + R + SQR,4,4,DSR,0-1-2-3,0.9965155650000147,0.9965155650000148,0.008817079661913585,retained
drcpsqr,D + R + CPSQR,5,1,RDCP,1,0.9879964235094886,0.9879964235094888,0.026750670430244594,retained
drcpsqr,D + R + CPSQR,4,4,CPDR,0-1-2-3,0.9809852430897258,0.9809852430897258,0.04736779383368872,retained
drsqr,D + R + SQR,3,4,RDS,0-1-2-3,0.9744779418772791,0.9744779418772791,0.050120067557368864,low_confidence
drcpsqr,D + R + CPSQR,4,4,RDCP,0-1-2-3,0.9711618617900813,0.9711618617900812,0.07493022940622018,low_confidence
drcpsqr,D + R + CPSQR,4,3,RDCP,0-2-3,0.9697135786629552,0.9697135786629554,0.1055962744854907,discarded
