gate,kind,duration_ns,parameters,note
R0,QubitRotation,40.0,"theta=0.730, phi=0.388",
D0,Displacement,80.0,"Re(alpha)=-0.119, Im(alpha)=0.302",
S0,MaskedSQR,1100.0,"theta=[-1.879, -1.875, -1.834, 1.486], phi=[-1.765, 1.916, 1.689, -1.483]","levels=0,1,2,3"
R1,QubitRotation,40.0,"theta=1.486, phi=1.596",
D1,Displacement,80.0,"Re(alpha)=-0.015, Im(alpha)=-0.469",
S1,MaskedSQR,1100.0,"theta=[2.362, -2.107, -2.221, -2.012], phi=[-0.427, 0.210, -0.255, -0.506]","levels=0,1,2,3"
R2,QubitRotation,40.0,"theta=1.829, phi=0.237",
D2,Displacement,80.0,"Re(alpha)=0.285, Im(alpha)=0.295",
S2,MaskedSQR,1100.0,"theta=[-0.486, 1.049, -4.545, 3.250], phi=[-0.099, 1.143, 1.184, 1.139]","levels=0,1,2,3"
R3,QubitRotation,40.0,"theta=1.452, phi=1.667",
D3,Displacement,80.0,"Re(alpha)=0.256, Im(alpha)=0.137",
S3,MaskedSQR,1100.0,"theta=[0.940, -0.666, 4.213, -3.196], phi=[0.059, 0.629, -0.858, -6.539]","levels=0,1,2,3"
R4,QubitRotation,40.0,"theta=1.695, phi=-0.135",
D4,Displacement,80.0,"Re(alpha)=0.336, Im(alpha)=-0.114",
S4,MaskedSQR,1100.0,"theta=[1.490, -1.220, 19.900, 1.186], phi=[-2.205, -2.255, 0.803, 0.879]","levels=0,1,2,3"
D5,Displacement,80.0,"Re(alpha)=0.229, Im(alpha)=-0.153",
