n_active,chi_t_over_2pi,duration_s,kernel_condition_number,baseline_state_fidelity,baseline_process_fidelity,analytic_state_fidelity,analytic_process_fidelity,state_opt_state_fidelity,state_opt_process_fidelity,unitary_opt_state_fidelity,unitary_opt_process_fidelity,baseline_mean_abs_theta_error,baseline_mean_abs_phi_error,unitary_opt_mean_abs_theta_error,unitary_opt_mean_abs_phi_error,unitary_opt_mean_abs_axis_z
1,1.0,3.52112676056338e-07,1.0,0.9999999967457758,0.999999954136337,0.9999741330779461,0.9999740886814625,1.0,0.9999999573708018,0.9999999999999991,0.9999999573714597,0.00011422273028305341,0.0,1.6592336748999514e-07,9.000663014901988e-08,2.013148697607086e-08
1,3.0,1.0563380281690138e-06,1.0,0.999999999682896,1.0,0.9999737417339496,0.9999737619751274,0.9999999999997982,1.0,0.999999999682896,1.0,3.5575972365364805e-05,0.0,3.5575972365364805e-05,0.0,0.0
1,5.0,1.7605633802816898e-06,1.0,0.9999999998958742,0.9999999998924587,0.9999736564413279,0.9999736564292901,0.9267533610381112,0.9266548953288992,0.9999999998958742,0.9999999998924587,1.9624135360718498e-05,0.0,1.9624135360718498e-05,0.0,0.0
2,1.0,3.52112676056338e-07,3.784539272532095,0.935137999283799,0.9329294741493905,0.9990499870299199,0.9967478756055399,0.9999999999574611,0.9959110920787568,0.9998088828392757,0.9986179992369147,0.1807397873288794,0.7628717608410072,0.016752016767770606,0.022307924255030587,0.09310855073396228
2,3.0,1.0563380281690138e-06,1.0175385187442478,0.9993302212562655,0.9989717106097286,0.9990477113743333,0.9986819543162939,0.9999999998579481,0.9990208462647288,0.9999979596964975,0.9999924412009755,0.004100092038159309,0.02673842285441519,0.0012915923743117563,0.0033759657909904206,0.0048243821917258595
2,5.0,1.7605633802816898e-06,1.0015515080883703,0.9995316560494554,0.9992464370945566,0.9991653638027913,0.9988874931169851,0.8546009979686806,0.8543381066188637,0.9995316560494554,0.9992464370945566,0.000918133901816276,0.016001123880916568,0.000918133901816276,0.016001123880916568,0.05623623701121899
3,1.0,3.52112676056338e-07,8.171641706734158,0.8821948320862607,0.8737445602857683,0.9904706224481395,0.976865411521096,0.8348454033347,0.41444773167606264,0.994385635907977,0.9862827521679566,0.4543233457770193,0.8043812311249542,0.10952153186203735,0.13680865175499127,0.18310339326888805
3,3.0,1.0563380281690138e-06,1.024907843380185,0.9974017799635917,0.9966384248524702,0.9952631552871082,0.9946610856975354,0.9999999999555038,0.9966040407192527,0.9999999895200119,0.9999993278064333,0.007618003819188128,0.041064781238061045,8.784641564574258e-05,0.00011763706619423904,9.189289316136754e-06
3,5.0,1.7605633802816898e-06,1.0022071792645841,0.9980807776734535,0.9976809582891669,0.9958187072887213,0.9954854813588151,0.9014636847289988,0.8979773679360368,0.9980807776734535,0.9976809582891669,0.002254342258185549,0.03122347387301172,0.002254342258185549,0.03122347387301172,0.06477565951178717
4,1.0,3.52112676056338e-07,13.42050412628894,0.8136215094845722,0.7930605161466275,0.8843667353468181,0.8618045173747435,0.8613130278280934,0.47002671796132756,0.9774510956596512,0.9619897858818416,0.6851671768603741,0.7293500721215611,0.22125272400574225,0.21633017152200906,0.14246161437673815
4,3.0,1.0563380281690138e-06,1.0287154423614338,0.9950270865784371,0.9923159052106603,0.9859539705350667,0.9846309218301128,0.9999999999868718,0.9912110217759152,0.999991661611165,0.999978321058285,0.013028636696696516,0.057164407500090664,0.0011110523495374558,0.00048702469483474786,0.006628902689053184
4,5.0,1.7605633802816898e-06,1.0025837160512907,0.9963010981054161,0.9951611552138192,0.9873041260029248,0.9867630738868033,0.9574419760725407,0.6571296243807699,0.9963010981054161,0.9951611552138192,0.003952398958393055,0.04643644198638308,0.003952398958393055,0.04643644198638308,0.08325479336847832
