mode,n,family,variant,description,duration_ns,amplitude_scale,expected_pi_amplitude_MHz,amplitude_MHz,carrier_rotating_MHz,target_probability,source_probability,leakage_probability,subspace_population
readout,1,square,square,Constant envelope,12.0,1.05,20.833333333333332,21.875,-255.6696945244608,0.9969520050030979,0.0030479949969023476,0.0,1.0000000000000002
readout,1,square,square,Constant envelope,16.0,1.05,15.624999999999998,16.406249999999996,-255.6696945244608,0.9963150836171217,0.0036849163828782993,0.0,1.0
readout,1,square,square,Constant envelope,20.0,1.05,12.5,13.125,-255.6696945244608,0.9959014597561773,0.004098540243822717,6.938893903907228e-18,1.0
readout,1,square,square,Constant envelope,24.0,1.05,10.416666666666666,10.9375,-255.6696945244608,0.995611682303993,0.004388317696007044,0.0,1.0
readout,1,square,square,Constant envelope,32.0,1.05,7.812499999999999,8.203124999999998,-255.6696945244608,0.9952352585630299,0.0047647414369699215,2.220446049250313e-16,0.9999999999999998
readout,1,square,square,Constant envelope,40.0,1.05,6.25,6.5625,-255.6696945244608,0.9950049281851129,0.0049950718148873965,0.0,1.0000000000000002
readout,1,square,square,Constant envelope,60.0,1.05,4.166666666666666,4.374999999999999,-255.6696945244608,0.9946814796789613,0.00531852032103914,0.0,1.0000000000000004
readout,1,square,square,Constant envelope,80.0,1.05,3.125,3.28125,-255.6696945244608,0.9945173724311848,0.005482627568814968,2.671474153004283e-16,0.9999999999999998
readout,1,square,square,Constant envelope,120.0,1.05,2.083333333333333,2.1874999999999996,-255.6696945244608,0.994345874691788,0.005654125308212017,0.0,1.0
readout,1,square,square,Constant envelope,160.0,1.05,1.5625,1.640625,-255.6696945244608,0.9942569100407835,0.005743089959216463,0.0,1.0
readout,1,square,square,Constant envelope,220.0,1.05,1.1363636363636362,1.1931818181818181,-255.6696945244608,0.9941798693798053,0.005820130620194834,0.0,1.0000000000000002
readout,1,square,square,Constant envelope,300.0,1.05,0.8333333333333333,0.875,-255.6696945244608,0.9941437060636844,0.0058562939363157734,0.0,1.0000000000000002
readout,1,gaussian,sigma_0p24,Wide Gaussian,12.0,1.05,20.833333333333332,21.875,-255.6696945244608,0.9946670179580293,0.005332982041970869,0.0,1.0000000000000002
readout,1,gaussian,sigma_0p24,Wide Gaussian,16.0,1.05,15.624999999999998,16.406249999999996,-255.6696945244608,0.9945063553902321,0.005493644609768079,0.0,1.0000000000000002
readout,1,gaussian,sigma_0p24,Wide Gaussian,20.0,1.05,12.5,13.125,-255.6696945244608,0.9944103438606076,0.005589656139392312,1.2836953722228372e-16,0.9999999999999999
readout,1,gaussian,sigma_0p24,Wide Gaussian,24.0,1.05,10.416666666666666,10.9375,-255.6696945244608,0.9943454229089365,0.005654577091063743,0.0,1.0000000000000002
readout,1,gaussian,sigma_0p24,Wide Gaussian,32.0,1.05,7.812499999999999,8.203124999999998,-255.6696945244608,0.9942632332940509,0.005736766705948964,1.726049858596923e-16,0.9999999999999998
readout,1,gaussian,sigma_0p24,Wide Gaussian,40.0,1.05,6.25,6.5625,-255.6696945244608,0.9942135557848902,0.005786444215109517,2.480654570646834e-16,0.9999999999999998
readout,1,gaussian,sigma_0p24,Wide Gaussian,60.0,1.05,4.166666666666666,4.374999999999999,-255.6696945244608,0.9941492270922867,0.005850772907713207,9.020562075079397e-17,0.9999999999999999
readout,1,gaussian,sigma_0p24,Wide Gaussian,80.0,1.05,3.125,3.28125,-255.6696945244608,0.9941162679117848,0.005883732088215392,0.0,1.0000000000000002
readout,1,gaussian,sigma_0p24,Wide Gaussian,120.0,1.05,2.083333333333333,2.1874999999999996,-255.6696945244608,0.9940819511853323,0.005918048814667871,0.0,1.0000000000000002
readout,1,gaussian,sigma_0p24,Wide Gaussian,160.0,1.05,1.5625,1.640625,-255.6696945244608,0.9940623727183759,0.005937627281624212,0.0,1.0000000000000002
readout,1,gaussian,sigma_0p24,Wide Gaussian,220.0,1.05,1.1363636363636362,1.1931818181818181,-255.6696945244608,0.9940479586413358,0.005952041358664089,1.3964523981613297e-16,0.9999999999999999
