mode,n,family,variant,description,duration_ns,amplitude_scale,expected_pi_amplitude_MHz,amplitude_MHz,carrier_rotating_MHz,target_probability,source_probability,leakage_probability,subspace_population,projected_swap_fidelity,projected_diagonal_norm,offdiag_phase_asymmetry_rad,source_column_subspace_norm,target_column_subspace_norm,neighbor_transfer_rows,max_neighbor_transfer,selectivity_ratio,dominant_basis_states,passes_unselective,passes_selective,noise_scenario,noise_description
readout,1,square,square,Constant envelope,12.0,1.05,20.833333333333332,21.875,-255.6696945244608,0.9706406480815836,0.002554360206091009,0.02680499171232542,0.9731950082876746,0.044964934979775856,0.07807406420765708,2.713586709559228,1.0,0.9999999999999997,"[{""n_other"": 2, ""target_probability"": 0.5005372397151875}, {""n_other"": 3, ""target_probability"": 0.07063303719856476}]",0.5005372397151875,1.8452645876279519,"[[""|g,1,0>"", 0.9969520050030979], [""|f,0,0>"", 0.0030479949969023476]]",False,False,transmon_reference,Storage/readout dissipation plus transmon relaxation and Ramsey-derived pure dephasing scaled by 1.0 relative to the matched local tomography reference.
readout,1,square,square,Constant envelope,16.0,1.05,15.624999999999998,16.406249999999996,-255.6696945244608,0.961435934778792,0.0030384033158190695,0.035525661905388965,0.964474338094611,0.07886099290780611,0.08584514520010923,2.5712105299675345,1.0,1.0,"[{""n_other"": 2, ""target_probability"": 0.47016015456394583}, {""n_other"": 3, ""target_probability"": 0.05118911489703382}]",0.47016015456394583,1.914676632563877,"[[""|g,1,0>"", 0.9963150836168355], [""|f,0,0>"", 0.0036849163831645017]]",False,False,transmon_reference,Storage/readout dissipation plus transmon relaxation and Ramsey-derived pure dephasing scaled by 1.0 relative to the matched local tomography reference.
readout,1,square,square,Constant envelope,20.0,1.05,12.5,13.125,-255.6696945244608,0.952751091676398,0.0030995148559472764,0.04414939346765468,0.9558506065323453,0.12123901357665517,0.0905332946148872,2.428777980069984,1.0,0.9999999999999999,"[{""n_other"": 2, ""target_probability"": 0.4409216981348504}, {""n_other"": 3, ""target_probability"": 0.034375563004634214}]",0.4409216981348504,1.9899507491443356,"[[""|g,1,0>"", 0.9959014597561773], [""|f,0,0>"", 0.004098540243822717]]",False,False,transmon_reference,Storage/readout dissipation plus transmon relaxation and Ramsey-derived pure dephasing scaled by 1.0 relative to the matched local tomography reference.
readout,1,square,square,Constant envelope,24.0,1.05,10.416666666666666,10.9375,-255.6696945244608,0.9441685376790507,0.003161806923299699,0.05266965539764957,0.9473303446023504,0.1712307636275649,0.09366846888052041,2.2863422099778425,0.9999999999999998,0.9999999999999996,"[{""n_other"": 2, ""target_probability"": 0.41171381729344053}, {""n_other"": 3, ""target_probability"": 0.02014767649833582}]",0.41171381729344053,2.0775728121231904,"[[""|g,1,0>"", 0.995611682303993], [""|f,0,0>"", 0.004388317696007044]]",False,False,transmon_reference,Storage/readout dissipation plus transmon relaxation and Ramsey-derived pure dephasing scaled by 1.0 relative to the matched local tomography reference.
readout,1,square,square,Constant envelope,32.0,1.05,7.812499999999999,8.203124999999998,-255.6696945244608,0.9274743724513453,0.003110924472711085,0.06941470307594358,0.9305852969240564,0.2898849380864769,0.0976012817395171,2.0014396349620798,0.9999999999999997,0.9999999999999998,"[{""n_other"": 2, ""target_probability"": 0.35255238387146826}, {""n_other"": 3, ""target_probability"": 0.0031063849210127255}]",0.35255238387146826,2.307373464596985,"[[""|g,1,0>"", 0.9952352585645309], [""|f,0,0>"", 0.0047647414354690595]]",False,False,transmon_reference,Storage/readout dissipation plus transmon relaxation and Ramsey-derived pure dephasing scaled by 1.0 relative to the matched local tomography reference.
readout,1,square,square,Constant envelope,40.0,1.05,6.25,6.5625,-255.6696945244608,0.9111568046502178,0.0030815930998607404,0.0857616022499215,0.9142383977500785,0.42529051360501735,0.0999299954850783,1.7164616193220028,1.0000000000000004,0.9999999999999996,"[{""n_other"": 2, ""target_probability"": 0.2931472689326431}, {""n_other"": 3, ""target_probability"": 0.0038080384390174497}]",0.2931472689326431,2.640947671619878,"[[""|g,1,0>"", 0.9950049281851129], [""|f,0,0>"", 0.0049950718148873965]]",False,False,transmon_reference,Storage/readout dissipation plus transmon relaxation and Ramsey-derived pure dephasing scaled by 1.0 relative to the matched local tomography reference.
readout,1,square,square,Constant envelope,60.0,1.05,4.166666666666666,4.374999999999999,-255.6696945244608,0.8722094104619382,0.0027926089233742553,0.12499798061468752,0.8750020193853125,0.7643337038512015,0.10310590442714877,1.0041135294719323,1.0,0.9999999999999999,"[{""n_other"": 2, ""target_probability"": 0.15661491109456424}, {""n_other"": 3, ""target_probability"": 0.07356566661154094}]",0.15661491109456424,4.391148031718507,"[[""|g,1,0>"", 0.9946814796789613], [""|f,0,0>"", 0.00531852032103914]]",False,False,transmon_reference,Storage/readout dissipation plus transmon relaxation and Ramsey-derived pure dephasing scaled by 1.0 relative to the matched local tomography reference.
readout,1,square,square,Constant envelope,80.0,1.05,3.125,3.28125,-255.6696945244608,0.8355870647695218,0.0023864468303099245,0.16202648840016826,0.8379735115998318,0.9735320007165377,0.10468057735606334,0.29158040112064754,1.0,0.9999999999999998,"[{""n_other"": 2, ""target_probability"": 0.05851267680984324}, {""n_other"": 3, ""target_probability"": 0.14529793491292758}]",0.14529793491292758,2.9690081031177273,"[[""|g,1,0>"", 0.9945173724311848], [""|f,0,0>"", 0.005482627568814968]]",False,False,transmon_reference,Storage/readout dissipation plus transmon relaxation and Ramsey-derived pure dephasing scaled by 1.0 relative to the matched local tomography reference.
readout,1,square,square,Constant envelope,120.0,1.05,2.083333333333333,2.1874999999999996,-255.6696945244608,0.7674375674545434,0.002739970250735856,0.22982246229472075,0.7701775377052792,0.7078070814822404,0.10624073117970688,-1.1333268706347968,1.0,1.0000000000000002,"[{""n_other"": 2, ""target_probability"": 0.006214283529439742}, {""n_other"": 3, ""target_probability"": 0.053791496570612565}]",0.053791496570612565,5.357532871581813,"[[""|g,1,0>"", 0.994345874691788], [""|f,0,0>"", 0.005654125308212017]]",False,False,transmon_reference,Storage/readout dissipation plus transmon relaxation and Ramsey-derived pure dephasing scaled by 1.0 relative to the matched local tomography reference.
readout,1,square,square,Constant envelope,160.0,1.05,1.5625,1.640625,-255.6696945244608,0.7059381281070233,0.003935377565893554,0.29012649432708315,0.7098735056729168,0.08220450934676563,0.10700428821086815,-2.5582830443102607,0.9999999999999999,0.9999999999999998,"[{""n_other"": 2, ""target_probability"": 0.05458563739441472}, {""n_other"": 3, ""target_probability"": 0.0059432610783809485}]",0.05458563739441472,6.96723539303904,"[[""|g,1,0>"", 0.9942569100407835], [""|f,0,0>"", 0.005743089959216463]]",False,False,transmon_reference,Storage/readout dissipation plus transmon relaxation and Ramsey-derived pure dephasing scaled by 1.0 relative to the matched local tomography reference.
