mode,n,family,variant,description,duration_ns,amplitude_scale,expected_pi_amplitude_MHz,amplitude_MHz,carrier_rotating_MHz,target_probability,source_probability,leakage_probability,subspace_population,projected_swap_fidelity,projected_diagonal_norm,offdiag_phase_asymmetry_rad,source_column_subspace_norm,target_column_subspace_norm,neighbor_transfer_rows,max_neighbor_transfer,selectivity_ratio,dominant_basis_states,passes_unselective,passes_selective,noise_scenario,noise_description,criterion
storage,1,square,square,Constant envelope,12.0,1.05,20.833333333333332,21.875,-255.6696945244608,0.9953934536357196,0.0034169924946353073,0.0011895538696450655,0.998810446130355,0.044964934979775856,0.07807406420765708,2.713586709559228,1.0,0.9999999999999997,"[{""n_other"": 2, ""target_probability"": 0.5412228839525526}, {""n_other"": 3, ""target_probability"": 0.08222122090144315}]",0.5412228839525526,1.8396809818816948,"[[""|g,0,1>"", 0.9969520050030979], [""|f,0,0>"", 0.0030479949969023476]]",True,False,transmon_reference,Storage/readout dissipation plus transmon relaxation and Ramsey-derived pure dephasing scaled by 1.0 relative to the matched local tomography reference.,unselective
storage,2,square,square,Constant envelope,12.0,1.05,14.731391274719737,15.467960838455726,-261.3505365244608,0.995354856184904,0.003407614313984623,0.0012375295011113306,0.9987624704988887,0.17187321576344833,0.07803793051291669,2.2852485260473783,1.0000000000000002,1.0000000000000002,"[{""n_other"": 1, ""target_probability"": 0.8189355553382536}, {""n_other"": 3, ""target_probability"": 0.813591234034578}]",0.8189355553382536,1.2153759983297943,"[[""|g,0,2>"", 0.9969548406464125], [""|f,0,1>"", 0.003045159353587576]]",True,False,transmon_reference,Storage/readout dissipation plus transmon relaxation and Ramsey-derived pure dephasing scaled by 1.0 relative to the matched local tomography reference.,unselective
storage,3,square,square,Constant envelope,12.0,1.05,12.028130608117204,12.629537138523064,-267.03137852446076,0.9953203198316396,0.0033941864728922167,0.0012854936954681839,0.9987145063045318,0.3577951270281244,0.07799604682482127,1.8569104941775127,1.0000000000000004,1.0000000000000002,"[{""n_other"": 1, ""target_probability"": 0.6111987935514722}, {""n_other"": 2, ""target_probability"": 0.9256307079230696}]",0.9256307079230696,1.0752604313981535,"[[""|g,0,3>"", 0.9969581445047783], [""|f,0,2>"", 0.003041855495222155]]",True,False,transmon_reference,Storage/readout dissipation plus transmon relaxation and Ramsey-derived pure dephasing scaled by 1.0 relative to the matched local tomography reference.,unselective
storage,1,gaussian,sigma_0p24,Wide Gaussian,12.0,1.05,20.833333333333332,21.875,-255.6696945244608,0.993214024840241,0.005578456076641167,0.0012075190831178162,0.9987924809168822,0.04477945920987868,0.10327554082101723,2.7139861176850077,1.0000000000000002,1.0000000000000002,"[{""n_other"": 2, ""target_probability"": 0.5238412669853317}, {""n_other"": 3, ""target_probability"": 0.07619221536402805}]",0.5238412669853317,1.8965950847746968,"[[""|g,0,1>"", 0.9946670179580293], [""|f,0,0>"", 0.005332982041970869]]",True,False,transmon_reference,Storage/readout dissipation plus transmon relaxation and Ramsey-derived pure dephasing scaled by 1.0 relative to the matched local tomography reference.,unselective
storage,2,gaussian,sigma_0p24,Wide Gaussian,12.0,1.05,14.731391274719737,15.467960838455726,-261.3505365244608,0.9931753191397331,0.005569186339648469,0.0012554945206184158,0.9987445054793815,0.17132701517616183,0.10316069715068546,2.2856579614203403,1.0000000000000002,1.0000000000000002,"[{""n_other"": 1, ""target_probability"": 0.8336560508932517}, {""n_other"": 3, ""target_probability"": 0.8063536903974459}]",0.8336560508932517,1.1914037461609905,"[[""|g,0,2>"", 0.9946790741339929], [""|f,0,1>"", 0.005320925866007234]]",True,False,transmon_reference,Storage/readout dissipation plus transmon relaxation and Ramsey-derived pure dephasing scaled by 1.0 relative to the matched local tomography reference.,unselective
storage,3,gaussian,sigma_0p24,Wide Gaussian,12.0,1.05,12.028130608117204,12.629537138523064,-267.03137852446076,0.9931409564225274,0.005555573345301046,0.001303470232171533,0.9986965297678285,0.35678145403273553,0.10304278038486142,1.8573296939600639,0.9999999999999998,0.9999999999999998,"[{""n_other"": 1, ""target_probability"": 0.6371730975585983}, {""n_other"": 2, ""target_probability"": 0.9386663050569511}]",0.9386663050569511,1.0580945630662115,"[[""|g,0,3>"", 0.994690968180943], [""|f,0,2>"", 0.005309031819056723]]",True,False,transmon_reference,Storage/readout dissipation plus transmon relaxation and Ramsey-derived pure dephasing scaled by 1.0 relative to the matched local tomography reference.,unselective
storage,1,cosine,raised_cosine,Single-lobe cosine,12.0,1.05,20.833333333333332,21.875,-255.6696945244608,0.9924848083903198,0.006308849474805578,0.0012063421348745941,0.9987936578651254,0.04472068505555101,0.11006718674323245,2.714113063054746,1.0,0.9999999999999999,"[{""n_other"": 2, ""target_probability"": 0.5164924429194205}, {""n_other"": 3, ""target_probability"": 0.07070956044813503}]",0.5164924429194205,1.9221168105907573,"[[""|g,0,1>"", 0.9939423917829299], [""|f,0,0>"", 0.006057608217070114]]",True,False,transmon_reference,Storage/readout dissipation plus transmon relaxation and Ramsey-derived pure dephasing scaled by 1.0 relative to the matched local tomography reference.,unselective
storage,2,cosine,raised_cosine,Single-lobe cosine,12.0,1.05,14.731391274719737,15.467960838455726,-261.3505365244608,0.9924448399570349,0.006300849520914027,0.001254310522051054,0.998745689477949,0.17115235383206967,0.10997618554178078,2.285790015317494,0.9999999999999998,0.9999999999999998,"[{""n_other"": 1, ""target_probability"": 0.8355095445651061}, {""n_other"": 3, ""target_probability"": 0.8012554854818582}]",0.8355095445651061,1.1878309899374775,"[[""|g,0,2>"", 0.9939523391581006], [""|f,0,1>"", 0.006047660841899465]]",True,False,transmon_reference,Storage/readout dissipation plus transmon relaxation and Ramsey-derived pure dephasing scaled by 1.0 relative to the matched local tomography reference.,unselective
storage,3,cosine,raised_cosine,Single-lobe cosine,12.0,1.05,12.028130608117204,12.629537138523064,-267.03137852446076,0.9924079728903293,0.006289750058240943,0.00130227705142972,0.9986977229485703,0.35645729711631413,0.10987845626234267,1.8574621234558093,0.9999999999999997,1.0,"[{""n_other"": 1, ""target_probability"": 0.6384005642281604}, {""n_other"": 2, ""target_probability"": 0.9396620294523336}]",0.9396620294523336,1.0561459528668637,"[[""|g,0,3>"", 0.9939633508968926], [""|f,0,2>"", 0.006036649103107312]]",True,False,transmon_reference,Storage/readout dissipation plus transmon relaxation and Ramsey-derived pure dephasing scaled by 1.0 relative to the matched local tomography reference.,unselective
storage,1,flat_top_cosine,ramp_0p25,Reference cosine ramp,12.0,1.05,20.833333333333332,21.875,-255.6696945244608,0.9926123128421893,0.006182670795294121,0.0012050163625165642,0.9987949836374834,0.044727382403197596,0.10876636082552647,2.71411163939701,0.9999999999999994,0.9999999999999999,"[{""n_other"": 2, ""target_probability"": 0.5169566868294472}, {""n_other"": 3, ""target_probability"": 0.06995773348629163}]",0.5169566868294472,1.9206125130726641,"[[""|g,0,1>"", 0.9940851087155084], [""|f,0,0>"", 0.005914891284491515]]",True,False,transmon_reference,Storage/readout dissipation plus transmon relaxation and Ramsey-derived pure dephasing scaled by 1.0 relative to the matched local tomography reference.,unselective
