mode,criterion,n,amplitude_scale,detuning_MHz,target_probability,leakage_probability
readout,selective,1,0.9,-1.5,0.7901488331222265,0.0
readout,selective,1,0.9,-1.25,0.8477462007259222,1.6653345369377348e-16
readout,selective,1,0.9,-1.0,0.8975785497018579,0.0
readout,selective,1,0.9,-0.75,0.9380963929173803,1.1796119636642288e-16
readout,selective,1,0.9,-0.5,0.9680113288108483,0.0
readout,selective,1,0.9,-0.25,0.9863569065560844,0.0
readout,selective,1,0.9,0.0,0.9925326667937667,0.0
readout,selective,1,0.9,0.25,0.9863377409381857,0.0
readout,selective,1,0.9,0.5,0.9679731005769585,1.3183898417423734e-16
readout,selective,1,0.9,0.75,0.9380405054299004,1.3877787807814457e-17
readout,selective,1,0.9,1.0,0.8975071615332748,1.5265566588595902e-16
readout,selective,1,0.9,1.25,0.8476619951073912,0.0
readout,selective,1,0.9,1.5,0.7900545773148274,2.498001805406602e-16
readout,selective,1,0.925,-1.5,0.7928818761103712,0.0
readout,selective,1,0.925,-1.25,0.8512136230600117,0.0
readout,selective,1,0.925,-1.0,0.9017011570908459,0.0
readout,selective,1,0.925,-0.75,0.9427643443083936,3.95516952522712e-16
readout,selective,1,0.925,-0.5,0.9730889219777932,3.365363543395006e-16
readout,selective,1,0.925,-0.25,0.991686759760974,0.0
readout,selective,1,0.925,0.0,0.9979499305672369,0.0
readout,selective,1,0.925,0.25,0.9916711448093193,4.163336342344337e-17
readout,selective,1,0.925,0.5,0.9730499414954633,1.457167719820518e-16
readout,selective,1,0.925,0.75,0.9427078734547326,0.0
readout,selective,1,0.925,1.0,0.9016291085374152,6.938893903907228e-17
readout,selective,1,0.925,1.25,0.8511286907873385,1.6653345369377348e-16
readout,selective,1,0.925,1.5,0.7927868022050824,2.7755575615628914e-17
readout,selective,1,0.9500000000000001,-1.5,0.7928218265125744,0.0
readout,selective,1,0.9500000000000001,-1.25,0.8517177168648279,2.7755575615628914e-16
readout,selective,1,0.9500000000000001,-1.0,0.9027145702239482,3.885780586188048e-16
readout,selective,1,0.9500000000000001,-0.75,0.9442053979918854,1.1102230246251565e-16
readout,selective,1,0.9500000000000001,-0.5,0.9748492490783413,0.0
readout,selective,1,0.9500000000000001,-0.25,0.9936594115317298,0.0
readout,selective,1,0.9500000000000001,0.0,0.9999834696371657,8.302955762165554e-17
readout,selective,1,0.9500000000000001,0.25,0.9936351682902287,0.0
readout,selective,1,0.9500000000000001,0.5,0.974813849615249,0.0
readout,selective,1,0.9500000000000001,0.75,0.9441485384428876,0.0
readout,selective,1,0.9500000000000001,1.0,0.9026420222358049,8.326672684688674e-17
readout,selective,1,0.9500000000000001,1.25,0.8516321692587436,0.0
readout,selective,1,0.9500000000000001,1.5,0.7927261688709623,8.326672684688674e-17
readout,selective,1,0.9750000000000001,-1.5,0.789967766846259,0.0
readout,selective,1,0.9750000000000001,-1.25,0.8492538557750037,0.0
readout,selective,1,0.9750000000000001,-1.0,0.9006110497809452,0.0
readout,selective,1,0.9750000000000001,-0.75,0.9424093348630865,9.020562075079397e-17
readout,selective,1,0.9750000000000001,-0.5,0.9732911659981023,1.249000902703301e-16
readout,selective,1,0.9750000000000001,-0.25,0.9922378236736473,4.891920202254596e-16
readout,selective,1,0.9750000000000001,0.0,0.9986200742813292,0.0
readout,selective,1,0.9750000000000001,0.25,0.992221156323953,0.0
readout,selective,1,0.9750000000000001,0.5,0.9732525227284464,2.42861286636753e-16
readout,selective,1,0.9750000000000001,0.75,0.9423522377881484,7.632783294297951e-17
readout,selective,1,0.9750000000000001,1.0,0.9005382354160908,3.191891195797325e-16
readout,selective,1,0.9750000000000001,1.25,0.8491680420475776,3.0531133177191805e-16
readout,selective,1,0.9750000000000001,1.5,0.7898718401828219,0.0
readout,selective,1,1.0,-1.5,0.7843382233912862,0.0
readout,selective,1,1.0,-1.25,0.8438381921384644,1.3877787807814457e-16
readout,selective,1,1.0,-1.0,0.8954044723737054,0.0
readout,selective,1,1.0,-0.75,0.9373919252410762,0.0
readout,selective,1,1.0,-0.5,0.9684148688463357,1.734723475976807e-16
readout,selective,1,1.0,-0.25,0.9874549979585563,0.0
readout,selective,1,1.0,0.0,0.9938683695765063,1.5439038936193583e-16
readout,selective,1,1.0,0.25,0.9874379820897219,0.0
readout,selective,1,1.0,0.5,0.9683765515461448,3.469446951953614e-17
readout,selective,1,1.0,0.75,0.937331037212914,0.0
readout,selective,1,1.0,1.0,0.8953316074639258,0.0
readout,selective,1,1.0,1.25,0.8437523394070858,1.6653345369377348e-16
readout,selective,1,1.0,1.5,0.7842423565883271,0.0
readout,selective,1,1.0250000000000001,-1.5,0.775971315899361,0.0
readout,selective,1,1.0250000000000001,-1.25,0.8355072725156542,2.220446049250313e-16
readout,selective,1,1.0250000000000001,-1.0,0.8871300466075167,5.551115123125783e-17
readout,selective,1,1.0250000000000001,-0.75,0.9291770428534226,0.0
readout,selective,1,1.0250000000000001,-0.5,0.9602512230415751,4.579669976578771e-16
readout,selective,1,1.0250000000000001,-0.25,0.9793364624089947,1.1449174941446927e-16
readout,selective,1,1.0250000000000001,0.0,0.9857635003901427,3.122502256758253e-17
readout,selective,1,1.0250000000000001,0.25,0.9793187416273871,0.0
readout,selective,1,1.0250000000000001,0.5,0.9602190146948058,0.0
readout,selective,1,1.0250000000000001,0.75,0.929118866419044,0.0
readout,selective,1,1.0250000000000001,1.0,0.8870575136462009,0.0
readout,selective,1,1.0250000000000001,1.25,0.8354217021997852,0.0
readout,selective,1,1.0250000000000001,1.5,0.7758758000477078,1.942890293094024e-16
readout,selective,1,1.05,-1.5,0.7649230508395869,0.0
readout,selective,1,1.05,-1.25,0.8243167443900988,0.0
readout,selective,1,1.05,-1.0,0.8758441764479994,0.0
readout,selective,1,1.05,-0.75,0.9178359824985538,0.0
readout,selective,1,1.05,-0.5,0.9488642282440836,2.0816681711721685e-16
readout,selective,1,1.05,-0.25,0.9679357530130144,2.636779683484747e-16
readout,selective,1,1.05,0.0,0.9743538757883823,0.0
readout,selective,1,1.05,0.25,0.9679162009355243,0.0
readout,selective,1,1.05,0.5,0.948835532488782,4.163336342344337e-17
readout,selective,1,1.05,0.75,0.9177717729307373,0.0
readout,selective,1,1.05,1.0,0.875772117585659,5.551115123125783e-17
readout,selective,1,1.05,1.25,0.8242330565327035,2.7755575615628914e-17
readout,selective,1,1.05,1.5,0.7648281168079732,5.551115123125783e-17
readout,selective,1,1.0750000000000002,-1.5,0.7512717545800119,2.7755575615628914e-16
readout,selective,1,1.0750000000000002,-1.25,0.8103453718419178,1.1102230246251565e-16
readout,selective,1,1.0750000000000002,-1.0,0.8616221674557492,0.0
readout,selective,1,1.0750000000000002,-0.75,0.9034133742995016,0.0
readout,selective,1,1.0750000000000002,-0.5,0.9343494980357923,1.6653345369377348e-16
readout,selective,1,1.0750000000000002,-0.25,0.9533254526835266,1.6653345369377348e-16
readout,selective,1,1.0750000000000002,0.0,0.9597305428556631,1.6653345369377348e-16
readout,selective,1,1.0750000000000002,0.25,0.953312862947615,0.0
readout,selective,1,1.0750000000000002,0.5,0.9343030255786478,0.0
readout,selective,1,1.0750000000000002,0.75,0.9033648990107818,0.0
readout,selective,1,1.0750000000000002,1.0,0.8615505243065277,1.6653345369377348e-16
readout,selective,1,1.0750000000000002,1.25,0.8102609667234763,0.0
readout,selective,1,1.0750000000000002,1.5,0.7511776755135551,0.0
readout,selective,1,1.1,-1.5,0.7351114206351774,0.0
readout,selective,1,1.1,-1.25,0.7936888305856404,0.0
readout,selective,1,1.1,-1.0,0.8445703411522402,1.3877787807814457e-16
readout,selective,1,1.1,-0.75,0.886117441031658,0.0
readout,selective,1,1.1,-0.5,0.9167676632477074,2.914335439641036e-16
readout,selective,1,1.1,-0.25,0.9356117336091992,0.0
readout,selective,1,1.1,0.0,0.9419750640513087,6.938893903907228e-18
readout,selective,1,1.1,0.25,0.935601308613936,0.0
readout,selective,1,1.1,0.5,0.9167190945224075,0.0
readout,selective,1,1.1,0.75,0.8860002065530018,3.7470027081099033e-16
readout,selective,1,1.1,1.0,0.844493863012067,2.7755575615628914e-17
readout,selective,1,1.1,1.25,0.7936053884628299,2.7755575615628914e-16
readout,selective,1,1.1,1.5,0.7350184742201121,1.1102230246251565e-16
