mode,criterion,n,amplitude_scale,detuning_MHz,target_probability,leakage_probability
storage,selective,2,0.9,-1.5,0.6461001651668054,1.1102230246251565e-16
storage,selective,2,0.9,-1.25,0.7384664755292543,0.0
storage,selective,2,0.9,-1.0,0.8224373423026294,0.0
storage,selective,2,0.9,-0.75,0.8934231602557245,0.0
storage,selective,2,0.9,-0.5,0.9473650475261834,0.0
storage,selective,2,0.9,-0.25,0.9810797003926219,0.0
storage,selective,2,0.9,0.0,0.9925395618787909,0.0
storage,selective,2,0.9,0.25,0.9810463602237824,0.0
storage,selective,2,0.9,0.5,0.9472991857910208,6.938893903907228e-18
storage,selective,2,0.9,0.75,0.8933293225539275,0.0
storage,selective,2,0.9,1.0,0.8223215917360168,8.326672684688674e-17
storage,selective,2,0.9,1.25,0.7383357141998189,1.6653345369377348e-16
storage,selective,2,0.9,1.5,0.6459617622932319,1.1102230246251565e-16
storage,selective,2,0.925,-1.5,0.6471173522421978,5.551115123125783e-17
storage,selective,2,0.925,-1.25,0.7405609069988331,0.0
storage,selective,2,0.925,-1.0,0.8255764691152279,0.0
storage,selective,2,0.925,-0.75,0.8974875666400077,0.0
storage,selective,2,0.925,-0.5,0.952156125373487,0.0
storage,selective,2,0.925,-0.25,0.9863304115005457,0.0
storage,selective,2,0.925,0.0,0.9979553900766742,1.3617579286417936e-16
storage,selective,2,0.925,0.25,0.9862982721185378,9.8879238130678e-17
storage,selective,2,0.925,0.5,0.9520895594539015,0.0
storage,selective,2,0.925,0.75,0.8973926969328212,0.0
storage,selective,2,0.925,1.0,0.8254594194123599,1.6653345369377348e-16
storage,selective,2,0.925,1.25,0.7404288982546509,5.551115123125783e-17
storage,selective,2,0.925,1.5,0.6469777370366059,0.0
storage,selective,2,0.9500000000000001,-1.5,0.6457776002672269,0.0
storage,selective,2,0.9500000000000001,-1.25,0.7400174379455781,1.6653345369377348e-16
storage,selective,2,0.9500000000000001,-1.0,0.8258269844944256,1.1102230246251565e-16
storage,selective,2,0.9500000000000001,-0.75,0.8984550466629626,1.3877787807814457e-16
storage,selective,2,0.9500000000000001,-0.5,0.9536934902332118,0.0
storage,selective,2,0.9500000000000001,-0.25,0.9882336637594349,2.203098814490545e-16
storage,selective,2,0.9500000000000001,0.0,0.9999837928119906,0.0
storage,selective,2,0.9500000000000001,0.25,0.9882090170382655,8.500145032286355e-17
storage,selective,2,0.9500000000000001,0.5,0.9536261688414458,0.0
storage,selective,2,0.9500000000000001,0.75,0.8983595043388282,0.0
storage,selective,2,0.9500000000000001,1.0,0.8257092409945122,0.0
storage,selective,2,0.9500000000000001,1.25,0.7398845490208381,2.220446049250313e-16
storage,selective,2,0.9500000000000001,1.5,0.6456371619479505,1.1102230246251565e-16
storage,selective,2,0.9750000000000001,-1.5,0.6420881455597749,0.0
storage,selective,2,0.9750000000000001,-1.25,0.7368380515868733,0.0
storage,selective,2,0.9750000000000001,-1.0,0.823186226840781,0.0
storage,selective,2,0.9750000000000001,-0.75,0.8963182859498287,1.8041124150158794e-16
storage,selective,2,0.9750000000000001,-0.5,0.9519666294941336,2.1510571102112408e-16
storage,selective,2,0.9750000000000001,-0.25,0.986777483861693,2.237793284010081e-16
storage,selective,2,0.9750000000000001,0.0,0.9986177616126669,2.0794997668271975e-16
storage,selective,2,0.9750000000000001,0.25,0.9867478616296429,0.0
storage,selective,2,0.9750000000000001,0.5,0.9518991867168072,0.0
storage,selective,2,0.9750000000000001,0.75,0.8962225463724588,0.0
storage,selective,2,0.9750000000000001,1.0,0.8230682693781269,1.1102230246251565e-16
storage,selective,2,0.9750000000000001,1.25,0.7367050447921059,0.0
storage,selective,2,0.9750000000000001,1.5,0.6419475783788774,0.0
storage,selective,2,1.0,-1.5,0.6360715360583283,0.0
storage,selective,2,1.0,-1.25,0.7310421108428005,0.0
storage,selective,2,1.0,-1.0,0.8176703168022402,0.0
storage,selective,2,1.0,-0.75,0.8910906986336787,2.7755575615628914e-17
storage,selective,2,1.0,-0.5,0.9469864319899048,0.0
storage,selective,2,1.0,-0.25,0.9819619092997942,0.0
storage,selective,2,1.0,0.0,0.9938639857416514,4.597017211338539e-17
storage,selective,2,1.0,0.25,0.9819327715441992,0.0
storage,selective,2,1.0,0.5,0.9469191356746219,0.0
storage,selective,2,1.0,0.75,0.8909949520764671,0.0
storage,selective,2,1.0,1.0,0.817552461796283,0.0
storage,selective,2,1.0,1.25,0.7309093888990164,0.0
storage,selective,2,1.0,1.5,0.6359315804405049,0.0
storage,selective,2,1.0250000000000001,-1.5,0.627769728539049,0.0
storage,selective,2,1.0250000000000001,-1.25,0.7226695500488035,2.220446049250313e-16
storage,selective,2,1.0250000000000001,-1.0,0.809316906774974,3.885780586188048e-16
