mode,criterion,n,amplitude_scale,detuning_MHz,target_probability,leakage_probability
storage,unselective,1,0.9,-1.5,0.9894748121221864,1.682681771697503e-16
storage,unselective,1,0.9,-1.25,0.9898401892051799,0.0
storage,unselective,1,0.9,-1.0,0.9901359830352381,5.204170427930421e-17
storage,unselective,1,0.9,-0.75,0.9903646026271904,0.0
storage,unselective,1,0.9,-0.5,0.9905243801448148,2.393918396847994e-16
storage,unselective,1,0.9,-0.25,0.9906153027070402,0.0
storage,unselective,1,0.9,0.0,0.9906382670509988,0.0
storage,unselective,1,0.9,0.25,0.990593109172623,0.0
storage,unselective,1,0.9,0.5,0.9904796436040298,3.677613769070831e-16
storage,unselective,1,0.9,0.75,0.9902973650455512,6.245004513516506e-17
storage,unselective,1,0.9,1.0,0.9900464339699959,1.3877787807814457e-17
storage,unselective,1,0.9,1.25,0.989729583647549,0.0
storage,unselective,1,0.9,1.5,0.9893403334447536,0.0
storage,unselective,1,0.925,-1.5,0.9956858775255948,4.9439619065339e-17
storage,unselective,1,0.925,-1.25,0.9960571660461017,0.0
storage,unselective,1,0.925,-1.0,0.9963593533848181,0.0
storage,unselective,1,0.925,-0.75,0.996591211674585,0.0
storage,unselective,1,0.925,-0.5,0.996755101937295,0.0
storage,unselective,1,0.925,-0.25,0.9968476411195238,0.0
storage,unselective,1,0.925,0.0,0.9968719764847324,1.0625181290357943e-16
storage,unselective,1,0.925,0.25,0.9968260049870928,0.0
storage,unselective,1,0.925,0.5,0.996708983153284,2.229119666630197e-16
storage,unselective,1,0.925,0.75,0.9965239671431916,0.0
storage,unselective,1,0.925,1.0,0.9962696450835021,0.0
storage,unselective,1,0.925,1.25,0.995945327936908,0.0
storage,unselective,1,0.925,1.5,0.9955521125941773,2.654126918244515e-16
storage,unselective,1,0.9500000000000001,-1.5,0.9985702083757301,2.3830763751231387e-16
storage,unselective,1,0.9500000000000001,-1.25,0.9989473517815387,7.741203511546502e-17
storage,unselective,1,0.9500000000000001,-1.0,0.999253651269791,2.0838365755171395e-16
storage,unselective,1,0.9500000000000001,-0.75,0.9994895368272724,7.39425881635114e-17
storage,unselective,1,0.9500000000000001,-0.5,0.9996549712550156,3.9345696839498956e-16
storage,unselective,1,0.9500000000000001,-0.25,0.9997494936297395,9.053088140253962e-18
storage,unselective,1,0.9500000000000001,0.0,0.9997735230719684,2.0735366548785272e-16
storage,unselective,1,0.9500000000000001,0.25,0.9997269566824136,3.7730235602495554e-17
storage,unselective,1,0.9500000000000001,0.5,0.9996096461474916,0.0
storage,unselective,1,0.9500000000000001,0.75,0.9994218493927297,0.0
storage,unselective,1,0.9500000000000001,1.0,0.9991635382357662,1.8323016715005025e-17
storage,unselective,1,0.9500000000000001,1.25,0.9988350036957141,0.0
storage,unselective,1,0.9500000000000001,1.5,0.9984355534012221,3.4846257823684113e-16
storage,unselective,1,0.9750000000000001,-1.5,0.9981086634597114,0.0
storage,unselective,1,0.9750000000000001,-1.25,0.9984903959376101,2.717010644248674e-16
storage,unselective,1,0.9750000000000001,-1.0,0.9988007878133718,7.43762690325056e-17
storage,unselective,1,0.9750000000000001,-0.75,0.9990395147601774,4.189357194483989e-16
storage,unselective,1,0.9750000000000001,-0.5,0.9992068922744605,6.1257422745431e-17
storage,unselective,1,0.9750000000000001,-0.25,0.9993026516969846,1.0907073855204175e-16
storage,unselective,1,0.9750000000000001,0.0,0.9993271095034134,0.0
storage,unselective,1,0.9750000000000001,0.25,0.9992802766871619,1.332484469984685e-16
storage,unselective,1,0.9750000000000001,0.5,0.9991615978046872,8.57603918436034e-17
storage,unselective,1,0.9750000000000001,0.75,0.9989716534172668,1.1058862159352145e-16
storage,unselective,1,0.9750000000000001,1.0,0.9987104990702614,4.336808689942018e-17
storage,unselective,1,0.9750000000000001,1.25,0.9983776233357232,0.0
storage,unselective,1,0.9750000000000001,1.5,0.9979735875503996,0.0
storage,unselective,1,1.0,-1.5,0.9943049191831523,1.457167719820518e-16
storage,unselective,1,1.0,-1.25,0.9946897135616376,0.0
storage,unselective,1,1.0,-1.0,0.9950032331201357,0.0
storage,unselective,1,1.0,-0.75,0.9952429036926567,2.2724877535296173e-16
storage,unselective,1,1.0,-0.5,0.9954132158928078,1.3357370765021415e-16
storage,unselective,1,1.0,-0.25,0.9955096469824407,0.0
storage,unselective,1,1.0,0.0,0.9955343802207625,1.1796119636642288e-16
storage,unselective,1,1.0,0.25,0.9954879028669105,0.0
storage,unselective,1,1.0,0.5,0.9953683937613744,1.0148132334464322e-16
storage,unselective,1,1.0,0.75,0.9951758066447872,0.0
storage,unselective,1,1.0,1.0,0.9949129117332386,0.0
storage,unselective,1,1.0,1.25,0.994577629638979,1.5612511283791264e-17
storage,unselective,1,1.0,1.5,0.9941700990135757,2.42861286636753e-17
storage,unselective,1,1.0250000000000001,-1.5,0.9871834378510975,0.0
storage,unselective,1,1.0250000000000001,-1.25,0.9875711680419095,2.8622937353617317e-16
storage,unselective,1,1.0250000000000001,-1.0,0.9878860897167354,0.0
storage,unselective,1,1.0250000000000001,-0.75,0.9881289317613818,0.0
storage,unselective,1,1.0250000000000001,-0.5,0.9882996272070191,0.0
storage,unselective,1,1.0250000000000001,-0.25,0.9883969596356442,0.0
storage,unselective,1,1.0250000000000001,0.0,0.988421904101792,1.5959455978986625e-16
storage,unselective,1,1.0250000000000001,0.25,0.988373278121114,5.238864897449957e-16
storage,unselective,1,1.0250000000000001,0.5,0.9882523553976826,0.0
storage,unselective,1,1.0250000000000001,0.75,0.9880620686889982,0.0
storage,unselective,1,1.0250000000000001,1.0,0.9877971889479792,0.0
storage,unselective,1,1.0250000000000001,1.25,0.9874588683043263,0.0
storage,unselective,1,1.0250000000000001,1.5,0.9870484558542549,9.8879238130678e-17
storage,unselective,1,1.05,-1.5,0.9767913047265765,2.8449465006019636e-16
storage,unselective,1,1.05,-1.25,0.9771795331638026,1.0408340855860843e-17
storage,unselective,1,1.05,-1.0,0.9774960703320932,1.1449174941446927e-16
storage,unselective,1,1.05,-0.75,0.9777420516043687,0.0
storage,unselective,1,1.05,-0.5,0.977912546758363,0.0
storage,unselective,1,1.05,-0.25,0.9780108806621717,1.0408340855860843e-16
storage,unselective,1,1.05,0.0,0.9780358351313475,7.28583859910259e-17
storage,unselective,1,1.05,0.25,0.9779893503724871,2.1163626406917047e-16
storage,unselective,1,1.05,0.5,0.977866768957811,4.5102810375396984e-17
storage,unselective,1,1.05,0.75,0.9776755892582584,0.0
storage,unselective,1,1.05,1.0,0.977409843924039,0.0
storage,unselective,1,1.05,1.25,0.9770692500743702,2.0469737016526324e-16
storage,unselective,1,1.05,1.5,0.9766578019620712,0.0
storage,unselective,1,1.0750000000000002,-1.5,0.9631995107927651,0.0
storage,unselective,1,1.0750000000000002,-1.25,0.9635901361591024,9.020562075079397e-17
storage,unselective,1,1.0750000000000002,-1.0,0.9639080046159816,0.0
storage,unselective,1,1.0750000000000002,-0.75,0.96415154526393,0.0
storage,unselective,1,1.0750000000000002,-0.5,0.9643217035471385,6.938893903907228e-18
storage,unselective,1,1.0750000000000002,-0.25,0.9644194657300301,4.163336342344337e-17
storage,unselective,1,1.0750000000000002,0.0,0.9644453713433234,1.5959455978986625e-16
