mode,n,family,variant,description,duration_ns,amplitude_scale,expected_pi_amplitude_MHz,amplitude_MHz,carrier_rotating_MHz,target_probability,source_probability,leakage_probability,subspace_population,projected_swap_fidelity,projected_diagonal_norm,offdiag_phase_asymmetry_rad,source_column_subspace_norm,target_column_subspace_norm,neighbor_transfer_rows,max_neighbor_transfer,selectivity_ratio,dominant_basis_states,passes_unselective,passes_selective,criterion
readout,2,square,square,Constant envelope,300.0,1.05,0.5892556509887895,0.618718433538229,-261.66969452446074,0.994161713722691,0.005838286277308691,2.888314587501384e-16,0.9999999999999997,0.994174855571614,0.10787105278115999,-0.00533053770914751,0.9999999999999997,0.9999999999999998,"[{""n_other"": 1, ""target_probability"": 0.009815248705034432}, {""n_other"": 3, ""target_probability"": 0.00874751170949523}]",0.009815248705034432,101.28747050625076,"[[""|g,2,0>"", 0.994161713722691], [""|f,1,0>"", 0.005838286277308691]]",True,True,selective
readout,3,square,square,Constant envelope,160.0,1.05,0.9021097956087903,0.9472152853892298,-267.6696945244608,0.9942906406421482,0.005709359357851602,1.708702623837155e-16,0.9999999999999998,0.2654493599547646,0.10667560308952632,-2.0556323244774948,0.9999999999999996,0.9999999999999998,"[{""n_other"": 1, ""target_probability"": 0.0008059136323588801}, {""n_other"": 2, ""target_probability"": 0.004091907441258086}]",0.004091907441258086,242.98952381397135,"[[""|g,3,0>"", 0.9942906406421482], [""|f,2,0>"", 0.005709359357851602]]",True,True,selective
readout,1,gaussian,sigma_0p24,Wide Gaussian,220.0,1.05,1.1363636363636362,1.1931818181818181,-255.6696945244608,0.9940479586413358,0.005952041358664089,1.3964523981613297e-16,0.9999999999999999,0.4886958572574485,0.10896810662146862,1.5875679432372511,1.0,1.0,"[{""n_other"": 2, ""target_probability"": 0.008119027947372837}, {""n_other"": 3, ""target_probability"": 0.002064067687999796}]",0.008119027947372837,122.43435606881864,"[[""|g,1,0>"", 0.9940479586413358], [""|f,0,0>"", 0.005952041358664089]]",True,True,selective
readout,2,gaussian,sigma_0p24,Wide Gaussian,220.0,1.05,0.8035304331665312,0.8437069548248578,-261.66969452446074,0.9940659031711205,0.005934096828879708,0.0,1.0000000000000002,0.9503281763033847,0.10887293275826167,-0.4226917332187332,1.0000000000000002,0.9999999999999997,"[{""n_other"": 1, ""target_probability"": 0.008940473624230389}, {""n_other"": 3, ""target_probability"": 0.0002144975338172395}]",0.008940473624230389,111.18716356111295,"[[""|g,2,0>"", 0.9940659031711205], [""|f,1,0>"", 0.005934096828879708]]",True,True,selective
readout,3,gaussian,sigma_0p24,Wide Gaussian,220.0,1.05,0.6560798513518474,0.6888838439194398,-267.6696945244608,0.9940848998933506,0.005915100106649537,0.0,1.0000000000000002,0.11943330919745794,0.10862014976023321,-2.4336724330286508,0.9999999999999999,1.0,"[{""n_other"": 1, ""target_probability"": 0.0003997822200888275}, {""n_other"": 2, ""target_probability"": 0.007361441617806456}]",0.007361441617806456,135.03943269600575,"[[""|g,3,0>"", 0.9940848998933506], [""|f,2,0>"", 0.005915100106649537]]",True,True,selective
readout,3,cosine,raised_cosine,Single-lobe cosine,220.0,1.05,0.6560798513518474,0.6888838439194398,-267.6696945244608,0.9940491741981572,0.005950825801843149,0.0,1.0000000000000004,0.11930704098941666,0.1087423559140547,-2.434058258674569,1.0000000000000004,0.9999999999999999,"[{""n_other"": 1, ""target_probability"": 0.00030146804840019205}, {""n_other"": 2, ""target_probability"": 0.00031852098671637135}]",0.00031852098671637135,3120.827875254931,"[[""|g,3,0>"", 0.9940491741981572], [""|f,2,0>"", 0.005950825801843149]]",True,True,selective
readout,1,smooth_bump,compact_bump,Compact-support smooth ramp,300.0,1.05,0.8333333333333333,0.875,-255.6696945244608,0.9940160541192831,0.005983945880717051,0.0,1.0000000000000002,0.6479788616378598,0.1093204549611856,-1.2621720024634562,1.0000000000000002,1.0000000000000004,"[{""n_other"": 2, ""target_probability"": 0.0014854454407205453}, {""n_other"": 3, ""target_probability"": 0.00044960988130094434}]",0.0014854454407205453,669.1703558207533,"[[""|g,1,0>"", 0.9940160541192831], [""|f,0,0>"", 0.005983945880717051]]",True,True,selective
readout,1,blackman,blackman,Blackman window,300.0,1.05,0.8333333333333333,0.875,-255.6696945244608,0.9939942561048531,0.006005743895146773,8.066464163292153e-17,0.9999999999999999,0.6479898484784382,0.10939591639801763,-1.2621374395211957,1.0000000000000002,0.9999999999999998,"[{""n_other"": 2, ""target_probability"": 0.0022252565548998744}, {""n_other"": 3, ""target_probability"": 2.2140327931790445e-05}]",0.0022252565548998744,446.6874859512898,"[[""|g,1,0>"", 0.9939942561048531], [""|f,0,0>"", 0.006005743895146773]]",True,True,selective
storage,3,square,square,Constant envelope,160.0,1.05,0.9021097956087903,0.9472152853892298,-267.03137852446076,0.9942884032364916,0.005711596763508458,0.0,1.0,0.5748228443357585,0.10669669480396095,-1.413926701467494,0.9999999999999998,1.0000000000000002,"[{""n_other"": 1, ""target_probability"": 0.006219269949758765}, {""n_other"": 2, ""target_probability"": 2.5547906528054203e-05}]",0.006219269949758765,159.8722054628065,"[[""|g,0,3>"", 0.9942884032364916], [""|f,0,2>"", 0.005711596763508458]]",True,True,selective
storage,1,gaussian,sigma_0p24,Wide Gaussian,220.0,1.05,1.1363636363636362,1.1931818181818181,-255.6696945244608,0.9940479586413358,0.005952041358664089,1.3964523981613297e-16,0.9999999999999999,0.4886958572574485,0.10896810662146862,1.5875679432372511,1.0,1.0,"[{""n_other"": 2, ""target_probability"": 0.0043370704301402925}, {""n_other"": 3, ""target_probability"": 0.0025750813147518395}]",0.0043370704301402925,229.1980207960748,"[[""|g,0,1>"", 0.9940479586413358], [""|f,0,0>"", 0.005952041358664089]]",True,True,selective
