n,mechanism,target_coupling_MHz,common_detuning_MHz,storage_leg_lab_frequency_GHz,readout_leg_lab_frequency_GHz,storage_leg_rotating_frequency_MHz,readout_leg_rotating_frequency_MHz,storage_matrix_element,readout_matrix_element,storage_amplitude_MHz,readout_amplitude_MHz,simulation_duration_ns,peak_target_probability,time_to_peak_target_ns,max_intermediate_probability,intermediate_at_target_peak,leakage_at_target_peak,final_target_probability,reduced_peak_target_probability,reduced_peak_time_ns,reduced_max_intermediate_probability,resonant_peak_time_ns,raman_peak_time_ns,peak_target_error_vs_reduced,peak_time_error_vs_reduced_ns,dominant_peak_states,dominant_final_states,source_label,intermediate_label,target_label
1,resonant_bright_state,4.0,0.0,6.804115034441636,3.4488252783628397,-255.6696945244608,-255.6696945244608,1.0,1.0,4.0,4.0,141.0,0.9999981012625729,88.5,0.49997711566839337,1.8987158778268037e-06,0.0,0.125426060481932,0.9999921256621533,88.5,0.4999956985744398,88.38834764831844,,5.975600419594329e-06,0.0,"[[""|g,1,0>"", 0.9999981012625729], [""|f,0,0>"", 1.8987158778268037e-06]]","[[""|f,0,0>"", 0.4574512375686371], [""|g,0,1>"", 0.417122701949431], [""|g,1,0>"", 0.125426060481932]]","|g,0,1>","|f,0,0>","|g,1,0>"
1,detuned_raman_like,4.0,4.0,6.804115034441636,3.4488252783628397,-255.6696945244608,-255.6696945244608,1.0,1.0,4.0,4.0,120.00000000000001,0.7497435936788771,83.5,0.444335024291578,9.45639985730183e-06,0.0,0.45657615006564317,0.7499868512703931,83.5,0.44442689871195934,88.38834764831844,62.5,-0.00024325759151599957,0.0,"[[""|g,1,0>"", 0.7497435936788771], [""|g,0,1>"", 0.2502469499212656], [""|f,0,0>"", 9.45639985730183e-06]]","[[""|g,1,0>"", 0.45657615006564317], [""|f,0,0>"", 0.42697060402173875], [""|g,0,1>"", 0.11645324591261821]]","|g,0,1>","|f,0,0>","|g,1,0>"
1,detuned_raman_like,4.0,8.0,6.804115034441636,3.4488252783628397,-255.6696945244608,-255.6696945244608,1.0,1.0,4.0,4.0,168.5,0.9417665291775431,144.5,0.3331674003970088,7.357189436386067e-06,1.1102230246251565e-16,0.7117072142898905,0.9420870403503151,144.5,0.33332883472155034,88.38834764831844,125.0,-0.0003205111727719867,0.0,"[[""|g,1,0>"", 0.9417665291775431], [""|g,0,1>"", 0.058226113633020424], [""|f,0,0>"", 7.357189436386067e-06]]","[[""|g,1,0>"", 0.7117072142898905], [""|f,0,0>"", 0.25040672881877507], [""|g,0,1>"", 0.037886056891334535]]","|g,0,1>","|f,0,0>","|g,1,0>"
1,detuned_raman_like,4.0,12.0,6.804115034441636,3.4488252783628397,-255.6696945244608,-255.6696945244608,1.0,1.0,4.0,4.0,253.0,0.9806536653713696,242.5,0.23510690890214522,5.787229271956096e-06,0.0,0.9164983554968759,0.9803329709825672,242.5,0.23529259233082764,88.38834764831844,187.5,0.0003206943888023339,0.0,"[[""|g,1,0>"", 0.9806536653713696], [""|g,0,1>"", 0.01934054739935861], [""|f,0,0>"", 5.787229271956096e-06]]","[[""|g,1,0>"", 0.9164983554968759], [""|f,0,0>"", 0.06193529723743003], [""|g,0,1>"", 0.021566347265694025]]","|g,0,1>","|f,0,0>","|g,1,0>"
1,detuned_raman_like,4.0,16.0,6.804115034441636,3.4488252783628397,-255.6696945244608,-255.6696945244608,1.0,1.0,4.0,4.0,337.5,0.9830036846852741,255.0,0.16652944189823504,2.4479804563593802e-05,1.1102230246251565e-16,0.7380147113010994,0.9832919656468365,255.0,0.16666651455598877,88.38834764831844,250.0,-0.0002882809615624149,0.0,"[[""|g,1,0>"", 0.9830036846852741], [""|g,0,1>"", 0.016971835510162226], [""|f,0,0>"", 2.4479804563593802e-05]]","[[""|g,1,0>"", 0.7380147113010994], [""|f,0,0>"", 0.14722902718294092], [""|g,0,1>"", 0.11475626151595998]]","|g,0,1>","|f,0,0>","|g,1,0>"
1,detuned_raman_like,4.0,20.0,6.804115034441636,3.4488252783628397,-255.6696945244608,-255.6696945244608,1.0,1.0,4.0,4.0,421.5,0.9967674333916653,348.00000000000006,0.12108058357211807,2.319087182785474e-05,1.1102230246251565e-16,0.7536568946930798,0.9966300767830545,348.00000000000006,0.12120940572031763,88.38834764831844,312.5,0.00013735660861080579,0.0,"[[""|g,1,0>"", 0.9967674333916653], [""|g,0,1>"", 0.0032093757365066937], [""|f,0,0>"", 2.319087182785474e-05]]","[[""|g,1,0>"", 0.7536568946930798], [""|g,0,1>"", 0.16163313809682073], [""|f,0,0>"", 0.08470996721009938]]","|g,0,1>","|f,0,0>","|g,1,0>"
1,resonant_bright_state,6.0,0.0,6.804115034441636,3.4488252783628397,-255.6696945244608,-255.6696945244608,1.0,1.0,6.0,6.0,94.00000000000001,0.9999979833529675,59.00000000000001,0.4999974634565702,2.0160536595892632e-06,0.0,0.12539077339240526,0.9999921256621527,59.00000000000001,0.4999980314116625,58.925565098878955,,5.857690814847771e-06,0.0,"[[""|g,1,0>"", 0.9999979833529675], [""|f,0,0>"", 2.0160536595892632e-06]]","[[""|f,0,0>"", 0.45741827607878377], [""|g,0,1>"", 0.417190950528811], [""|g,1,0>"", 0.12539077339240526]]","|g,0,1>","|f,0,0>","|g,1,0>"
1,detuned_raman_like,6.0,4.0,6.804115034441636,3.4488252783628397,-255.6696945244608,-255.6696945244608,1.0,1.0,6.0,6.0,120.00000000000001,0.8755048138609144,57.50000000000001,0.4736201204350977,1.8580649170168818e-05,0.0,0.4195610031712162,0.8756352907478213,57.50000000000001,0.4736828535119519,58.925565098878955,27.77777777777778,-0.00013047688690692727,0.0,"[[""|g,1,0>"", 0.8755048138609144], [""|g,0,1>"", 0.1244766054899156], [""|f,0,0>"", 1.8580649170168818e-05]]","[[""|g,0,1>"", 0.5450377083850861], [""|g,1,0>"", 0.4195610031712162], [""|f,0,0>"", 0.035401288443697325]]","|g,0,1>","|f,0,0>","|g,1,0>"
1,detuned_raman_like,6.0,8.0,6.804115034441636,3.4488252783628397,-255.6696945244608,-255.6696945244608,1.0,1.0,6.0,6.0,120.00000000000001,0.9477523419824211,106.50000000000001,0.4089415138851337,3.1292597768337214e-05,0.0,0.7338456500572561,0.9474712059606536,106.50000000000001,0.4090873941196228,58.925565098878955,55.55555555555556,0.00028113602176749186,0.0,"[[""|g,1,0>"", 0.9477523419824211], [""|g,0,1>"", 0.05221636541981054], [""|f,0,0>"", 3.1292597768337214e-05]]","[[""|g,1,0>"", 0.7338456500572561], [""|f,0,0>"", 0.20064794388455046], [""|g,0,1>"", 0.06550640605819333]]","|g,0,1>","|f,0,0>","|g,1,0>"
1,detuned_raman_like,6.0,12.0,6.804115034441636,3.4488252783628397,-255.6696945244608,-255.6696945244608,1.0,1.0,6.0,6.0,120.00000000000001,0.9417175552903356,96.50000000000001,0.33316413243663645,8.304368044868854e-05,2.220446049250313e-16,0.6208932649866646,0.9420348283529572,96.00000000000001,0.33332883472155006,58.925565098878955,83.33333333333334,-0.0003172730626215259,0.5,"[[""|g,1,0>"", 0.9417175552903356], [""|g,0,1>"", 0.05819940102921551], [""|f,0,0>"", 8.304368044868854e-05]]","[[""|g,1,0>"", 0.6208932649866646], [""|f,0,0>"", 0.3320816716384221], [""|g,0,1>"", 0.047025063374912954]]","|g,0,1>","|f,0,0>","|g,1,0>"
