candidate_label,role,evaluation_level,n_cav,n_tr,process_fidelity,average_probe_fidelity,average_probe_leakage,max_transient_photon,wigner_target_overlap,entangling_gate_count,entangling_time_ns,symbolic_total_duration_ns,base_complexity,weighted_cost
N1_exact_hc_to_exact_hc,one_wait_exact_baseline,symbolic,10,2,0.24999991232341745,0.2500000231746889,6.106226635438361e-16,1.0,0.5000052810968811,1,176.00000000000003,376.0,1.75,2.762500175353165
N1_exact_hc_to_exact_hc,one_wait_exact_baseline,symbolic,12,2,0.24999991232341745,0.2500000231746889,6.106226635438361e-16,1.0,0.5000052810968811,1,176.00000000000003,376.0,1.75,2.762500175353165
N1_exact_hc_to_exact_hc,one_wait_exact_baseline,symbolic,14,2,0.24999991232341745,0.2500000231746889,6.106226635438361e-16,1.0,0.5000052810968811,1,176.00000000000003,376.0,1.75,2.762500175353165
N2_exact_hc_to_exact_hc,two_wait_symbolic_upper_bound,symbolic,10,2,0.9999997543589052,0.9999996537629002,7.956598343146956e-16,1.0,0.9999999929820582,2,352.00000000000006,712.0,2.0,2.4000004912821904
N2_exact_hc_to_exact_hc,two_wait_symbolic_upper_bound,symbolic,12,2,0.9999997543589052,0.9999996537629002,7.956598343146956e-16,1.0,0.9999999929820582,2,352.00000000000006,712.0,2.0,2.4000004912821904
N2_exact_hc_to_exact_hc,two_wait_symbolic_upper_bound,symbolic,14,2,0.9999997543589052,0.9999996537629002,7.956598343146956e-16,1.0,0.9999999929820582,2,352.00000000000006,712.0,2.0,2.4000004912821904
N2_A_local_to_A_local,two_wait_archive_symbolic_candidate,symbolic,10,2,0.9856807733852472,0.9691824058852986,0.020478399920661788,1.1648153303804039,0.9694190430333153,2,352.00000000000006,4372.0,3.75,2.826377653189837
N2_A_local_to_A_local,two_wait_archive_symbolic_candidate,symbolic,12,2,0.9856807733632683,0.9691824058441026,0.020478399960793925,1.164815330382244,0.9694190429245341,2,352.00000000000006,4372.0,3.75,2.8263776532538607
N2_A_local_to_A_local,two_wait_archive_symbolic_candidate,symbolic,14,2,0.9856807733633106,0.9691824058441588,0.020478399960739562,1.1648153303822728,0.9694190429351075,2,352.00000000000006,4372.0,3.75,2.826377653253749
N2_B_local_to_B_local,two_wait_replayable_archive_reference,symbolic,10,2,0.6344977977446065,0.5128744998422223,0.18710076594292877,2.2691419190604027,0.7493788903490801,8,6952.0,7912.0,52.5,20.56205478748225
N2_B_local_to_B_local,two_wait_replayable_archive_reference,symbolic,12,2,0.634497797582854,0.5128744997309312,0.18710076589835664,2.269191174919349,0.7493795796641198,8,6952.0,7912.0,52.5,20.56205478778347
N2_B_local_to_B_local,two_wait_replayable_archive_reference,symbolic,14,2,0.6344977975832968,0.5128744997312634,0.18710076589812616,2.269192108113365,0.7493796103821778,8,6952.0,7912.0,52.5,20.56205478778247
