case_id,model_variant,include_chi_prime,family,seed,n_active,chi_t_over_2pi,duration_s,duration_ns,construction,restricted_process_fidelity,restricted_average_gate_fidelity,restricted_fro_error,per_block_process_fidelities,per_block_average_gate_fidelities,per_block_rotation_angle_errors_rad,per_block_rotation_axis_errors_rad,per_block_residual_z_error_rad,per_block_transverse_error_rad,per_block_actual_rotvec_z_rad,mean_block_average_gate_fidelity,worst_block_average_gate_fidelity,mean_residual_z_error_rad,max_residual_z_error_rad,mean_transverse_error_rad,max_transverse_error_rad,best_fit_restricted_process_fidelity,uncorrected_restricted_process_fidelity,same_block_population_mean,same_block_population_min,other_target_population_mean,other_target_population_max,leakage_outside_target_mean,leakage_outside_target_max,weighted_loss,best_fit_block_phase_rms_rad,optimization_success,optimization_message,n_optimizer_history,corrections_vector,source_case,reduced_vs_full_restricted_process_fidelity,reduced_vs_full_restricted_average_gate_fidelity,magnus_vs_full_restricted_process_fidelity,magnus_vs_full_restricted_average_gate_fidelity,echo_half_duration_ns,echo_total_duration_ns,echo_pi_duration_ns
chi_only_aligned_x_na2_chiT1p0,chi_only,False,aligned_x,,2,1.0,3.52112676056338e-07,352.112676056338,full_shared_line,0.6865542518829411,0.7492434015063528,0.585560297804709,"[0.8202245815118923, 0.5648531190400025]","[0.8801497210079282, 0.7099020793600017]","[0.844809833261407, 1.4404609667435573]","[1.4394927482152549, 0.33936773872918674]","[0.03236596837755246, 0.001028774872763948]","[0.8751234189088234, 1.4407277336599398]","[-0.03453552909529141, -0.0015249244182789583]",0.795025900183965,0.7099020793600017,0.016697371625158205,0.03236596837755246,1.1579255762843816,1.4407277336599398,0.6866025021303022,0.6865542518829411,1.0000039285128388,1.0000039026246021,0.0,0.0,0.0,0.0,0.374913936623384,0.011906919060605741,True,Optimization terminated successfully.,129.0,"[0.7487723370773129, 0.7482622574508347, 1.188502585360594, 1.1581903947362286]",,,,,,,,
chi_only_aligned_x_na2_chiT1p0,chi_only,False,aligned_x,,2,1.0,3.52112676056338e-07,352.112676056338,blockwise_exact_reduced,0.6865622828669403,0.7492498262935523,0.5855626002284673,"[0.8202391446056607, 0.5648556012519595]","[0.8801594297371071, 0.7099037341679729]","[0.8448127936408825, 1.440462943216863]","[1.4395319027679923, 0.3395349141151375]","[0.0323633980674126, 0.0010288656467026167]","[0.8751251519484633, 1.440729857344131]","[-0.034532772668684125, -0.0015250098185985352]",0.79503158195254,0.7099037341679729,0.01669613185705761,0.0323633980674126,1.1579275046462971,1.440729857344131,,,,,,,,,,,,,,,chi_only_aligned_x_na2_chiT1p0,1.0,1.0,,,,,
chi_only_aligned_x_na2_chiT1p0,chi_only,False,aligned_x,,2,1.0,3.52112676056338e-07,352.112676056338,magnus_effective,4.2230228588432844e-05,0.20003378418287077,1.4188012397402372,"[0.0003390824191221275, 0.0009866602556210836]","[0.3335593882794148, 0.3339911068370807]","[1.974193675086124, 0.9522350238380741]","[1.930054915675375, 1.9732917137266293]","[0.2144452906418526, 2.158564786694035]","[3.0973474905592897, 2.1953043819141804]","[-0.9541806335789607, 0.5128385443546618]",0.3337752475582477,0.3335593882794148,1.1865050386679439,2.158564786694035,2.6463259362367353,3.0973474905592897,,,,,,,,,,,,,,,chi_only_aligned_x_na2_chiT1p0,,,0.06526075166598584,0.25220860133278866,,,
chi_only_aligned_x_na2_chiT1p0,chi_only,False,aligned_x,,2,1.0,3.52112676056338e-07,352.112676056338,decoupled_block,1.0,1.0,0.0,"[1.0, 1.0]","[1.0, 1.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]",1.0,1.0,0.0,0.0,0.0,0.0,,,1.0,,,,0.0,,,,,,,,,,,,,,,
chi_only_aligned_x_na2_chiT3p0,chi_only,False,aligned_x,,2,3.0,1.0563380281690138e-06,1056.3380281690138,full_shared_line,0.6874522861593001,0.7499618289274401,0.5846223445386255,"[0.8211231699674504, 0.5657169347327388]","[0.8807487799783003, 0.7104779564884925]","[0.8732180355324738, 1.416186674907022]","[0.2188127305237484, 1.3486348407372275]","[0.0012961922866180746, 0.02312550550020362]","[0.8733713834078147, 1.438795954583699]","[-0.0013952132251694883, 0.028234554470939182]",0.7956133682333963,0.7104779564884925,0.012210848893410847,0.02312550550020362,1.1560836689957568,1.438795954583699,0.6874897507597176,0.6874522861593001,1.0000006309675227,1.0000006245116642,0.0,0.0,0.0,0.0,0.3738525294846188,0.010485199773761417,True,Optimization terminated successfully.,118.0,"[-0.7493203442193228, -0.7495669605302857, 1.14554104812714, 1.1113557029356353]",,,,,,,,
chi_only_aligned_x_na2_chiT3p0,chi_only,False,aligned_x,,2,3.0,1.0563380281690138e-06,1056.3380281690138,blockwise_exact_reduced,0.6874509746998512,0.749960779759881,0.5846233172977839,"[0.8211217112957958, 0.565715765304772]","[0.8807478075305305, 0.710477176869848]","[0.8732198458678735, 1.4161872209986464]","[0.21847184551929905, 1.348725746480758]","[0.0012942225619871778, 0.023123597493720473]","[0.8733726745794468, 1.4387986729009654]","[-0.001392691804457017, 0.02823460176406918]",0.7956124922001893,0.710477176869848,0.012208910027853825,0.023123597493720473,1.156085673740206,1.4387986729009654,,,,,,,,,,,,,,,chi_only_aligned_x_na2_chiT3p0,1.0,1.0,,,,,
chi_only_aligned_x_na2_chiT3p0,chi_only,False,aligned_x,,2,3.0,1.0563380281690138e-06,1056.3380281690138,magnus_effective,0.3005704847430725,0.44045638779445806,0.9505334406559174,"[0.304439504476877, 0.29672620752098744]","[0.5362930029845847, 0.5311508050139916]","[0.5949308055534397, 0.5336053969324961]","[1.9960014196329046, 2.029246205171627]","[0.6380946105535857, 0.5681299262137453]","[1.8665920888556629, 1.9066234366325556]","[0.02195162331588562, -0.057664348239083875]",0.5337219039992882,0.5311508050139916,0.6031122683836655,0.6380946105535857,1.8866077627441094,1.9066234366325556,,,,,,,,,,,,,,,chi_only_aligned_x_na2_chiT3p0,,,0.6692812552756701,0.735425004220536,,,
chi_only_aligned_x_na2_chiT3p0,chi_only,False,aligned_x,,2,3.0,1.0563380281690138e-06,1056.3380281690138,decoupled_block,1.0,1.0,1.1102230246251565e-16,"[1.0, 1.0]","[1.0, 1.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 3.3306690738754696e-16]","[0.0, 0.0]",1.0,1.0,0.0,0.0,1.6653345369377348e-16,3.3306690738754696e-16,,,1.0,,,,0.0,,,,,,,,,,,,,,,
chi_only_aligned_x_na2_chiT5p0,chi_only,False,aligned_x,,2,5.0,1.7605633802816898e-06,1760.5633802816897,full_shared_line,0.6878097698104292,0.7502478158483433,0.5842482353662907,"[0.8213998711292709, 0.5661186827983068]","[0.880933247419514, 0.7107457885322045]","[0.8698469183094414, 1.4251813145361016]","[0.7730686911326097, 1.2092661685747208]","[0.006387680511222078, 0.015271290197779156]","[0.8726337842893966, 1.4380938955338292]","[-0.006842992725647351, 0.01866158249539807]",0.7958395179758593,0.7107457885322045,0.010829485354500616,0.015271290197779156,1.1553638399116128,1.4380938955338292,0.6878377785425142,0.6878097698104292,1.0000039137264571,1.0000038880027529,0.0,0.0,0.0,0.0,0.3734330698652568,0.009063446543596622,True,Optimization terminated successfully.,120.0,"[0.749566960523848, 0.748959507022195, -0.6214990737527297, -0.6362619551912009]",,,,,,,,
chi_only_aligned_x_na2_chiT5p0,chi_only,False,aligned_x,,2,5.0,1.7605633802816898e-06,1760.5633802816897,blockwise_exact_reduced,0.6878077543298757,0.7502462034639006,0.5842497689022317,"[0.8213957656302393, 0.5661184339657299]","[0.8809305104201596, 0.7107456226438199]","[0.8698519053987758, 1.4251834122233435]","[0.772364540722896, 1.2095185363181093]","[0.006382433211042375, 0.015270468210367052]","[0.8726325163058092, 1.4380993535229076]","[-0.006834579247331153, 0.018661399829756193]",0.7958380665319897,0.7107456226438199,0.010826450710704713,0.015270468210367052,1.1553659349143584,1.4380993535229076,,,,,,,,,,,,,,,chi_only_aligned_x_na2_chiT5p0,1.0,1.0,,,,,
chi_only_aligned_x_na2_chiT5p0,chi_only,False,aligned_x,,2,5.0,1.7605633802816898e-06,1760.5633802816897,magnus_effective,0.07805674138682352,0.2624453931094588,1.2005112529372728,"[0.08950058591688424, 0.06739540311147416]","[0.3930003906112562, 0.37826360207431614]","[2.160921577591204, 1.0363463541425304]","[2.5165978814934826, 2.5040329188262147]","[0.82576916561654, 0.9219600894270507]","[2.395627545963542, 2.4485401590490703]","[-0.21527930273043253, 0.10868287174243]",0.38563199634278617,0.37826360207431614,0.8738646275217954,0.9219600894270507,2.422083852506306,2.4485401590490703,,,,,,,,,,,,,,,chi_only_aligned_x_na2_chiT5p0,,,0.03416491832330147,0.22733193465864118,,,
chi_only_aligned_x_na2_chiT5p0,chi_only,False,aligned_x,,2,5.0,1.7605633802816898e-06,1760.5633802816897,decoupled_block,1.0,1.0,0.0,"[1.0, 1.0]","[1.0, 1.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]",1.0,1.0,0.0,0.0,0.0,0.0,,,1.0,,,,0.0,,,,,,,,,,,,,,,
chi_only_aligned_x_na3_chiT1p0,chi_only,False,aligned_x,,3,1.0,3.52112676056338e-07,352.112676056338,full_shared_line,0.5365450858649701,0.6027529307414029,0.731553279390553,"[0.8210648527290175, 0.566396040045627, 0.2904715752353957]","[0.8807099018193449, 0.7109306933637513, 0.5269810501569304]","[0.8189375049513494, 1.4164280341477917, 2.0017402489267218]","[1.437988052727852, 1.2982348284980518, 0.5827684237510146]","[0.05658717113794457, 0.022701888916491456, 0.0038041136419139153]","[0.871711630862803, 1.4374440113240246, 2.0032059971492377]","[-0.06016748198927731, -0.027644789273266936, 0.004832829994848388]",0.7062072151133422,0.5269810501569304,0.027697724565449982,0.05658717113794457,1.4374538797786887,2.0032059971492377,0.5366408898583332,0.5365450858649701,1.000010868309736,1.000010702577265,0.0,0.0,0.0,0.0,0.5515365249891493,0.02173892783345513,True,Optimization terminated successfully.,180.0,"[0.7489002938462139, 0.7471209319117506, 0.7474542652500282, 1.1251931676640936, 1.0707374247613677, 1.050367332248366]",,,,,,,,
chi_only_aligned_x_na3_chiT1p0,chi_only,False,aligned_x,,3,1.0,3.52112676056338e-07,352.112676056338,blockwise_exact_reduced,0.5365471795561525,0.6027547253338449,0.7315537680067042,"[0.8210741873155735, 0.5663958280362525, 0.29047079031230866]","[0.8807161248770491, 0.7109305520241683, 0.5269805268748725]","[0.818942562417952, 1.4164285795187082, 2.0017415227218684]","[1.4380020756364607, 1.2982171679996821, 0.5828369427040846]","[0.056582769977592984, 0.022699413783024616, 0.003799544644123787]","[0.8717131136459983, 1.4374436985918597, 2.003207403850163]","[-0.06016257544604185, -0.02764413637609919, 0.004833362829771281]",0.7062090679253633,0.5269805268748725,0.027693909468247128,0.056582769977592984,1.437454738696007,2.003207403850163,,,,,,,,,,,,,,,chi_only_aligned_x_na3_chiT1p0,1.0,1.0,,,,,
chi_only_aligned_x_na3_chiT1p0,chi_only,False,aligned_x,,3,1.0,3.52112676056338e-07,352.112676056338,magnus_effective,0.002865249260195344,0.14531307079445316,1.4515702002520599,"[0.01438308230751618, 0.0009858457321132012, 0.005191600351279735]","[0.34292205487167743, 0.33399056382140885, 0.3367944002341865]","[1.6538979767449549, 0.9852049382587502, 0.35705393138003805]","[1.951470317598436, 2.062286285907684, 2.0580107134632484]","[0.35517057289014703, 1.2668751072252227, 1.924223164858943]","[2.879332185034275, 2.806056042491679, 2.2981612366124198]","[-1.2840506123767828, -0.4292297641268845, 0.5572441044408373]",0.3379023396424243,0.33399056382140885,1.1820896149914375,1.924223164858943,2.661183154712791,2.879332185034275,,,,,,,,,,,,,,,chi_only_aligned_x_na3_chiT1p0,,,0.19872751700231028,0.31319501457340887,,,
