case_id,model_variant,include_chi_prime,n_active,chi_t_over_2pi,target_family,random_seed,waveform_family,pulse_duration_ns,average_gate_fidelity,restricted_process_fidelity,restricted_fro_error,restricted_unitarity_error,state_transfer_fidelity_mean,state_transfer_fidelity_min,same_block_population_mean,same_block_population_min,other_target_population_mean,other_target_population_max,leakage_outside_target_mean,leakage_outside_target_max,weighted_loss,mean_residual_z_error_rad,max_residual_z_error_rad,mean_transverse_error_rad,state_validation_ground_fidelity,state_validation_plus_fidelity,optimizer_success,optimizer_nfev,optimizer_runtime_s
chi_only_na2_chiT3p0_targetC,chi_only,False,2,3.0,C,,baseline_multitone,1056.3380281690138,0.8733594709574568,0.841699338696821,0.4066197815447503,1.6670511012176602e-06,0.8627390652566744,0.7679236963641104,1.0000000000000004,1.0000000000000002,0.0,0.0,0.0,0.0,0.18154495246327113,0.07348482145191505,0.0924563078451696,0.7855805320413038,0.840732867827353,0.8947295885753048,,,
chi_only_na2_chiT3p0_targetC,chi_only,False,2,3.0,C,,symmetric_two_segment,1056.3380281690138,0.871677583657201,0.8395969795715013,0.40942917172857973,3.587975548434118e-07,0.8608822188243922,0.7656086296634349,1.0,0.9999999999999998,0.0,0.0,1.3877787807814457e-16,2.220446049250313e-16,0.1839695351991677,0.07166293226376512,0.09131227619574805,0.7919872209418143,0.8386649471555636,0.8931935821046266,True,59.0,2.6251644999974815
chi_only_na2_chiT3p0_targetC,chi_only,False,2,3.0,C,,complex_envelope,1056.3380281690138,0.8722550938588469,0.8403188673235588,0.4084662453259046,6.044137449432948e-07,0.8615422233441828,0.7663315890792215,1.0,0.9999999999999999,0.0,0.0,2.7755575615628914e-17,1.1102230246251565e-16,0.1831280347619747,0.07396945124331583,0.09294394752929026,0.7895311750430218,0.8393464765863881,0.8936074506933314,True,60.0,2.667214699999022
chi_only_na2_chiT3p0_targetC,chi_only,False,2,3.0,C,,basis_expanded,1056.3380281690138,0.8722557043080947,0.8403196303851183,0.4084652318397939,6.984241634396439e-07,0.861542777715872,0.7663366981874065,1.0000000000000002,1.0000000000000002,0.0,0.0,0.0,0.0,0.18312718301927547,0.073966323139283,0.09294301983551037,0.789532960174006,0.8393468929207566,0.8936072162632404,True,66.0,2.967386099997384
chi_only_na2_chiT3p0_targetD_seed90210,chi_only,False,2,3.0,D,90210.0,baseline_multitone,1056.3380281690138,0.45446284887814736,0.3180785610976842,0.9339028867640746,2.087379761968141e-06,0.4458677856429478,0.32016841651031736,1.0,0.9999999999999999,0.0,0.0,5.551115123125783e-17,1.1102230246251565e-16,0.7671900626552818,0.7641447695856747,0.9797662415759139,1.7724994489604515,0.4213947275031658,0.4188694211210766,,,
chi_only_na2_chiT3p0_targetD_seed90210,chi_only,False,2,3.0,D,90210.0,symmetric_two_segment,1056.3380281690138,0.4361936498584612,0.2952420623230764,0.9557235227944628,3.9158116054626565e-06,0.42313489151704786,0.29897487954774415,1.0,0.9999999999999996,0.0,0.0,1.1102230246251565e-16,4.440892098500626e-16,0.7945523141036591,0.738304195007758,0.9755418857867575,1.8356546491134904,0.3892728711721404,0.3954796593354666,True,60.0,3.0137333999991824
chi_only_na2_chiT3p0_targetD_seed90210,chi_only,False,2,3.0,D,90210.0,complex_envelope,1056.3380281690138,0.45810685790423405,0.32263357238029255,0.9295838604536768,2.642258414526273e-06,0.4433795683004176,0.3236555124475463,0.9999999999999998,0.9999999999999997,0.0,0.0,1.942890293094024e-16,3.3306690738754696e-16,0.7645412959856384,0.7031727207049552,0.8986236794900054,1.7900090053982853,0.4102062957337049,0.42698381444174566,False,120.0,6.0109818000019
chi_only_na2_chiT3p0_targetD_seed90210,chi_only,False,2,3.0,D,90210.0,basis_expanded,1056.3380281690138,0.46110348248049976,0.3263793531006247,0.9260412507279603,4.1360102162730695e-06,0.4471902161097063,0.32732616173690765,1.0,0.9999999999999999,0.0,0.0,2.7755575615628914e-17,1.1102230246251565e-16,0.7600205103936288,0.7078305768383439,0.9024923930245521,1.7794668113199117,0.41543783158658726,0.43006923001399283,False,120.0,6.424441200000729
chi_only_na2_chiT5p0_targetC,chi_only,False,2,5.0,C,,baseline_multitone,1760.5633802816897,0.8733320396789919,0.8416650495987399,0.4066329866196803,2.855678506966615e-06,0.8627167674074482,0.7678919177789897,1.0,1.0,0.0,0.0,0.0,0.0,0.18158122252421657,0.07529020951318675,0.09213281781684854,0.7856201879518514,0.8407191470829348,0.8945125593601272,,,
chi_only_na2_chiT5p0_targetC,chi_only,False,2,5.0,C,,symmetric_two_segment,1760.5633802816897,0.8722719990450077,0.8403399988062595,0.4084053386465101,8.108946226342454e-07,0.8615661615474696,0.7659262799064364,0.9999999999999999,0.9999999999999997,0.0,0.0,1.3877787807814457e-16,3.3306690738754696e-16,0.18310153486372993,0.07502756763768338,0.09198284606664735,0.7891301051353332,0.839400038474993,0.8934541103687084,True,64.0,4.517134199999418
