mode,n,family,paper_role,amplitude_MHz,duration_ns,target_probability,return_probability,leakage_probability,dominant_basis_states,solver_failure
readout,1,square,baseline constant-amplitude control,4.0,20.0,0.23027841482398417,0.7697215851760162,0.0,[('|f,0,0>', 0.7697215851760162), ('|g,1,0>', 0.23027841482398417)],None
readout,1,square,baseline constant-amplitude control,4.0,30.0,0.4664550126040557,0.5335449873959442,1.1102230246251565e-16,[('|f,0,0>', 0.5335449873959442), ('|g,1,0>', 0.4664550126040557)],None
readout,1,square,baseline constant-amplitude control,4.0,40.0,0.7109365927259222,0.2890634072740776,1.6653345369377348e-16,[('|g,1,0>', 0.7109365927259222), ('|f,0,0>', 0.2890634072740776)],None
readout,1,square,baseline constant-amplitude control,4.0,50.0,0.9032362080922548,0.09676379190774491,2.914335439641036e-16,[('|g,1,0>', 0.9032362080922548), ('|f,0,0>', 0.09676379190774491)],None
readout,1,square,baseline constant-amplitude control,4.0,60.0,0.9957815181177406,0.004218481882259526,0.0,[('|g,1,0>', 0.9957815181177406), ('|f,0,0>', 0.004218481882259526)],None
readout,1,square,baseline constant-amplitude control,4.0,80.0,0.8203918904503519,0.17960810954964784,2.7755575615628914e-16,[('|g,1,0>', 0.8203918904503519), ('|f,0,0>', 0.17960810954964784)],None
readout,1,square,baseline constant-amplitude control,6.0,20.0,0.4653998078899052,0.5346001921100946,2.220446049250313e-16,[('|f,0,0>', 0.5346001921100946), ('|g,1,0>', 0.4653998078899052)],None
readout,1,square,baseline constant-amplitude control,6.0,30.0,0.8162231774416537,0.18377682255834618,8.326672684688674e-17,[('|g,1,0>', 0.8162231774416537), ('|f,0,0>', 0.18377682255834618)],None
readout,1,square,baseline constant-amplitude control,6.0,40.0,0.9956421012731692,0.004357898726830722,6.678685382510707e-17,[('|g,1,0>', 0.9956421012731692), ('|f,0,0>', 0.004357898726830722)],None
readout,1,square,baseline constant-amplitude control,6.0,50.0,0.9064069280125308,0.09359307198746897,2.7755575615628914e-16,[('|g,1,0>', 0.9064069280125308), ('|f,0,0>', 0.09359307198746897)],None
