mode,n,family,amplitude_MHz,duration_ns,detuning_MHz,target_probability
storage,1,bump,12.0,20.0,-2.0,0.994684494832617
storage,1,bump,12.0,20.0,-1.75,0.9950050603908226
storage,1,bump,12.0,20.0,-1.5,0.9952829075564339
storage,1,bump,12.0,20.0,-1.25,0.995518004829373
storage,1,bump,12.0,20.0,-1.0,0.9957103255321132
storage,1,bump,12.0,20.0,-0.75,0.9958598478260466
storage,1,bump,12.0,20.0,-0.5,0.9959665546994226
storage,1,bump,12.0,20.0,-0.25,0.9960304339868081
storage,1,bump,12.0,20.0,0.0,0.9960514784700454
storage,1,bump,12.0,20.0,0.25,0.9960296858068037
storage,1,bump,12.0,20.0,0.5,0.9959650584731925
storage,1,bump,12.0,20.0,0.75,0.9958576037536239
storage,1,bump,12.0,20.0,1.0,0.9957073338153949
storage,1,bump,12.0,20.0,1.25,0.9955142657317001
storage,1,bump,12.0,20.0,1.5,0.9952784214117145
storage,1,bump,12.0,20.0,1.75,0.9949998275878212
storage,1,bump,12.0,20.0,2.0,0.9946785158626127
storage,2,square,6.0,30.0,-2.0,0.9851790603773188
storage,2,square,6.0,30.0,-1.75,0.9885132908497923
storage,2,square,6.0,30.0,-1.5,0.9914084333761615
storage,2,square,6.0,30.0,-1.25,0.9938614225053433
storage,2,square,6.0,30.0,-1.0,0.9958696969566816
storage,2,square,6.0,30.0,-0.75,0.9974311595722556
storage,2,square,6.0,30.0,-0.5,0.9985443044724254
storage,2,square,6.0,30.0,-0.25,0.9992079017282965
storage,2,square,6.0,30.0,0.0,0.9994212108988312
storage,2,square,6.0,30.0,0.25,0.9991842467579581
storage,2,square,6.0,30.0,0.5,0.9984969779303133
storage,2,square,6.0,30.0,0.75,0.9973602953962633
storage,2,square,6.0,30.0,1.0,0.9957751201722932
storage,2,square,6.0,30.0,1.25,0.9937437209381091
storage,2,square,6.0,30.0,1.5,0.9912674599165546
storage,2,square,6.0,30.0,1.75,0.9883489779441328
storage,2,square,6.0,30.0,2.0,0.9849917072975622
storage,3,bump,14.0,10.0,-2.0,0.9974256824719439
storage,3,bump,14.0,10.0,-1.75,0.9975059963452275
storage,3,bump,14.0,10.0,-1.5,0.9975755562033483
storage,3,bump,14.0,10.0,-1.25,0.9976343594883368
storage,3,bump,14.0,10.0,-1.0,0.9976824052496548
