mode,n,family,paper_role,amplitude_MHz,duration_ns,target_probability,return_probability,leakage_probability,dominant_basis_states,solver_failure
storage,1,square,baseline constant-amplitude control,4.0,10.0,0.06082232889926427,0.939177671100736,0.0,[('|g,0,1>', 0.939177671100736), ('|f,0,0>', 0.06082232889926427)],None
storage,1,square,baseline constant-amplitude control,4.0,20.0,0.23027838722714986,0.7697216127728501,0.0,[('|g,0,1>', 0.7697216127728501), ('|f,0,0>', 0.23027838722714986)],None
storage,1,square,baseline constant-amplitude control,4.0,30.0,0.4664473641572492,0.533552635842751,0.0,[('|g,0,1>', 0.533552635842751), ('|f,0,0>', 0.4664473641572492)],None
storage,1,square,baseline constant-amplitude control,4.0,40.0,0.7109190814296685,0.2890809185703315,0.0,[('|f,0,0>', 0.7109190814296685), ('|g,0,1>', 0.2890809185703315)],None
storage,1,square,baseline constant-amplitude control,4.0,60.0,0.9957769500862437,0.004223049913756382,0.0,[('|f,0,0>', 0.9957769500862437), ('|g,0,1>', 0.004223049913756382)],None
storage,1,square,baseline constant-amplitude control,4.0,80.0,0.8204167383578611,0.17958326164213914,0.0,[('|f,0,0>', 0.8204167383578611), ('|g,0,1>', 0.17958326164213914)],None
storage,1,square,baseline constant-amplitude control,4.0,120.0,0.01627200767357505,0.9837279923264249,0.0,[('|g,0,1>', 0.9837279923264249), ('|f,0,0>', 0.01627200767357505)],None
storage,1,square,baseline constant-amplitude control,4.0,160.0,0.591441703647285,0.40855829635271523,0.0,[('|f,0,0>', 0.591441703647285), ('|g,0,1>', 0.40855829635271523)],None
storage,1,square,baseline constant-amplitude control,6.0,10.0,0.1333341538834277,0.8666658461165722,1.1102230246251565e-16,[('|g,0,1>', 0.8666658461165722), ('|f,0,0>', 0.1333341538834277)],None
storage,1,square,baseline constant-amplitude control,6.0,20.0,0.46536255175734925,0.5346374482426505,3.3306690738754696e-16,[('|g,0,1>', 0.5346374482426505), ('|f,0,0>', 0.46536255175734925)],None
storage,1,square,baseline constant-amplitude control,6.0,30.0,0.8161672383363018,0.1838327616636984,0.0,[('|f,0,0>', 0.8161672383363018), ('|g,0,1>', 0.1838327616636984)],None
storage,1,square,baseline constant-amplitude control,6.0,40.0,0.9956287019623801,0.004371298037619845,8.586881206085195e-17,[('|f,0,0>', 0.9956287019623801), ('|g,0,1>', 0.004371298037619845)],None
storage,1,square,baseline constant-amplitude control,6.0,60.0,0.5969805290943063,0.40301947090569373,0.0,[('|f,0,0>', 0.5969805290943063), ('|g,0,1>', 0.40301947090569373)],None
storage,1,square,baseline constant-amplitude control,6.0,80.0,0.016556689688526725,0.9834433103114733,0.0,[('|g,0,1>', 0.9834433103114733), ('|f,0,0>', 0.016556689688526725)],None
storage,1,square,baseline constant-amplitude control,6.0,120.0,0.9636130445972538,0.036386955402745925,2.42861286636753e-16,[('|f,0,0>', 0.9636130445972538), ('|g,0,1>', 0.036386955402745925)],None
storage,1,square,baseline constant-amplitude control,6.0,160.0,0.06353039955886243,0.9364696004411375,1.1102230246251565e-16,[('|g,0,1>', 0.9364696004411375), ('|f,0,0>', 0.06353039955886243)],None
storage,1,square,baseline constant-amplitude control,8.0,10.0,0.22849413637889246,0.7715058636211076,0.0,[('|g,0,1>', 0.7715058636211076), ('|f,0,0>', 0.22849413637889246)],None
storage,1,square,baseline constant-amplitude control,8.0,20.0,0.7089930276941899,0.29100697230580996,1.1102230246251565e-16,[('|f,0,0>', 0.7089930276941899), ('|g,0,1>', 0.29100697230580996)],None
storage,1,square,baseline constant-amplitude control,8.0,30.0,0.9954969614034052,0.0045030385965947415,1.0234868508263162e-16,[('|f,0,0>', 0.9954969614034052), ('|g,0,1>', 0.0045030385965947415)],None
