study,study_role,study_short,case_id,construction,construction_display,construction_family,ansatz,envelope,duration_ns,total_gate_duration_ns,model_variant,include_chi_prime,n_active,target_family,target_kind,strict_process_fidelity,avg_gate_fidelity,cpsqr_process_fidelity,reduced_quartet_fidelity,full_quartet_fidelity,mean_residual_z_error_rad,mean_transverse_error_rad,parameter_count,target_parameter_count,artifact_path,notes,source_csv
native_rich_multitone_sqr_cpsqr_feasibility,new,native-rich extension,chi_only_smooth_x_na2_chiT6p0,reduced_unitary_direct,direct,direct,reduced unitary direct,gaussian,2112.676056338028,2112.676056338028,chi_only,False,2,smooth_x,ideal_sqr,0.9989941993174668,0.9991953594539732,0.9997124741362192,0.9995375246071828,0.9995375246071828,0.0446614458612097,0.0325009210893006,6,4,C:\Users\jl82323\Box\Shyam Shankar Quantum Circuits Group\Users\Users_JianJun\cqed_based_study\studies\native_rich_multitone_sqr_cpsqr_feasibility\artifacts\cases\chi_only_smooth_x_na2_chiT6p0_reduced_unitary_direct.json,full_ideal_sqr_success,C:\Users\jl82323\Box\Shyam Shankar Quantum Circuits Group\Users\Users_JianJun\cqed_based_study\studies\native_rich_multitone_sqr_cpsqr_feasibility\data\study_results.csv
native_rich_multitone_sqr_cpsqr_feasibility,new,native-rich extension,chi_plus_chiprime_smooth_x_na2_chiT6p0,reduced_unitary_direct,direct,direct,reduced unitary direct,gaussian,2112.676056338028,2112.676056338028,chi_plus_chiprime,True,2,smooth_x,ideal_sqr,0.9989941993174436,0.9991953594539548,0.999712474136117,0.9995375246087824,0.9995375246087824,0.0446614458501255,0.0325009211150936,6,4,C:\Users\jl82323\Box\Shyam Shankar Quantum Circuits Group\Users\Users_JianJun\cqed_based_study\studies\native_rich_multitone_sqr_cpsqr_feasibility\artifacts\cases\chi_plus_chiprime_smooth_x_na2_chiT6p0_reduced_unitary_direct.json,full_ideal_sqr_success,C:\Users\jl82323\Box\Shyam Shankar Quantum Circuits Group\Users\Users_JianJun\cqed_based_study\studies\native_rich_multitone_sqr_cpsqr_feasibility\data\study_results.csv
native_rich_multitone_sqr_cpsqr_feasibility,new,native-rich extension,chi_only_smooth_x_na2_chiT6p0,native_direct_strict,direct,direct,native direct strict,gaussian,2112.676056338028,2112.676056338028,chi_only,False,2,smooth_x,ideal_sqr,0.9989911074651836,0.9991928859721468,0.9996650252580356,0.9995469841760232,0.9995469841760232,0.0467128596247683,0.0297716834175191,6,4,C:\Users\jl82323\Box\Shyam Shankar Quantum Circuits Group\Users\Users_JianJun\cqed_based_study\studies\native_rich_multitone_sqr_cpsqr_feasibility\artifacts\cases\chi_only_smooth_x_na2_chiT6p0_native_direct_strict.json,full_ideal_sqr_success,C:\Users\jl82323\Box\Shyam Shankar Quantum Circuits Group\Users\Users_JianJun\cqed_based_study\studies\native_rich_multitone_sqr_cpsqr_feasibility\data\study_results.csv
native_rich_multitone_sqr_cpsqr_feasibility,new,native-rich extension,chi_plus_chiprime_smooth_x_na2_chiT6p0,native_direct_strict,direct,direct,native direct strict,gaussian,2112.676056338028,2112.676056338028,chi_plus_chiprime,True,2,smooth_x,ideal_sqr,0.9989911073924642,0.9991928859139714,0.9996650264235888,0.9995469842637426,0.9995469842637426,0.0467128827499847,0.0297716360689978,6,4,C:\Users\jl82323\Box\Shyam Shankar Quantum Circuits Group\Users\Users_JianJun\cqed_based_study\studies\native_rich_multitone_sqr_cpsqr_feasibility\artifacts\cases\chi_plus_chiprime_smooth_x_na2_chiT6p0_native_direct_strict.json,full_ideal_sqr_success,C:\Users\jl82323\Box\Shyam Shankar Quantum Circuits Group\Users\Users_JianJun\cqed_based_study\studies\native_rich_multitone_sqr_cpsqr_feasibility\data\study_results.csv
native_rich_multitone_sqr_cpsqr_feasibility,new,native-rich extension,chi_only_smooth_x_na2_chiT5p0,reduced_unitary_direct,direct,direct,reduced unitary direct,gaussian,1760.5633802816897,1760.5633802816897,chi_only,False,2,smooth_x,ideal_sqr,0.9987632573882036,0.9990106059105628,0.9996468456903244,0.9994135866044036,0.9994135866044034,0.0508866135014819,0.0364823792416083,6,4,C:\Users\jl82323\Box\Shyam Shankar Quantum Circuits Group\Users\Users_JianJun\cqed_based_study\studies\native_rich_multitone_sqr_cpsqr_feasibility\artifacts\cases\chi_only_smooth_x_na2_chiT5p0_reduced_unitary_direct.json,full_ideal_sqr_success,C:\Users\jl82323\Box\Shyam Shankar Quantum Circuits Group\Users\Users_JianJun\cqed_based_study\studies\native_rich_multitone_sqr_cpsqr_feasibility\data\study_results.csv
native_rich_multitone_sqr_cpsqr_feasibility,new,native-rich extension,chi_plus_chiprime_smooth_x_na2_chiT5p0,reduced_unitary_direct,direct,direct,reduced unitary direct,gaussian,1760.5633802816897,1760.5633802816897,chi_plus_chiprime,True,2,smooth_x,ideal_sqr,0.9987632573881996,0.9990106059105596,0.999646845690038,0.9994135866044828,0.9994135866044828,0.0508866134915615,0.036482379265583,6,4,C:\Users\jl82323\Box\Shyam Shankar Quantum Circuits Group\Users\Users_JianJun\cqed_based_study\studies\native_rich_multitone_sqr_cpsqr_feasibility\artifacts\cases\chi_plus_chiprime_smooth_x_na2_chiT5p0_reduced_unitary_direct.json,full_ideal_sqr_success,C:\Users\jl82323\Box\Shyam Shankar Quantum Circuits Group\Users\Users_JianJun\cqed_based_study\studies\native_rich_multitone_sqr_cpsqr_feasibility\data\study_results.csv
native_rich_multitone_sqr_cpsqr_feasibility,new,native-rich extension,chi_plus_chiprime_smooth_x_na2_chiT5p0,native_direct_strict,direct,direct,native direct strict,gaussian,1760.5633802816897,1760.5633802816897,chi_plus_chiprime,True,2,smooth_x,ideal_sqr,0.9987594082089354,0.9990075265671482,0.999587827645432,0.99942546434126,0.99942546434126,0.0531781622342583,0.033392444956182,6,4,C:\Users\jl82323\Box\Shyam Shankar Quantum Circuits Group\Users\Users_JianJun\cqed_based_study\studies\native_rich_multitone_sqr_cpsqr_feasibility\artifacts\cases\chi_plus_chiprime_smooth_x_na2_chiT5p0_native_direct_strict.json,full_ideal_sqr_success,C:\Users\jl82323\Box\Shyam Shankar Quantum Circuits Group\Users\Users_JianJun\cqed_based_study\studies\native_rich_multitone_sqr_cpsqr_feasibility\data\study_results.csv
native_rich_multitone_sqr_cpsqr_feasibility,new,native-rich extension,chi_only_smooth_x_na2_chiT5p0,native_direct_strict,direct,direct,native direct strict,gaussian,1760.5633802816897,1760.5633802816897,chi_only,False,2,smooth_x,ideal_sqr,0.9987594080690566,0.9990075264552452,0.9995878220217712,0.999425464593781,0.999425464593781,0.0531781950512622,0.0333922897859632,6,4,C:\Users\jl82323\Box\Shyam Shankar Quantum Circuits Group\Users\Users_JianJun\cqed_based_study\studies\native_rich_multitone_sqr_cpsqr_feasibility\artifacts\cases\chi_only_smooth_x_na2_chiT5p0_native_direct_strict.json,full_ideal_sqr_success,C:\Users\jl82323\Box\Shyam Shankar Quantum Circuits Group\Users\Users_JianJun\cqed_based_study\studies\native_rich_multitone_sqr_cpsqr_feasibility\data\study_results.csv
native_rich_multitone_sqr_cpsqr_feasibility,new,native-rich extension,chi_plus_chiprime_smooth_x_na2_chiT3p0,reduced_unitary_direct,direct,direct,reduced unitary direct,gaussian,1056.3380281690138,1056.3380281690138,chi_plus_chiprime,True,2,smooth_x,ideal_sqr,0.9985761228962352,0.9988608983169882,0.99965171697691,0.9993360570748112,0.9993360570748112,0.0551450296698191,0.0374414778373238,6,4,C:\Users\jl82323\Box\Shyam Shankar Quantum Circuits Group\Users\Users_JianJun\cqed_based_study\studies\native_rich_multitone_sqr_cpsqr_feasibility\artifacts\cases\chi_plus_chiprime_smooth_x_na2_chiT3p0_reduced_unitary_direct.json,full_ideal_sqr_success,C:\Users\jl82323\Box\Shyam Shankar Quantum Circuits Group\Users\Users_JianJun\cqed_based_study\studies\native_rich_multitone_sqr_cpsqr_feasibility\data\study_results.csv
native_rich_multitone_sqr_cpsqr_feasibility,new,native-rich extension,chi_only_smooth_x_na2_chiT3p0,reduced_unitary_direct,direct,direct,reduced unitary direct,gaussian,1056.3380281690138,1056.3380281690138,chi_only,False,2,smooth_x,ideal_sqr,0.9985761228962334,0.9988608983169868,0.9996517169768104,0.9993360570748212,0.999336057074821,0.0551450296750766,0.0374414778274995,6,4,C:\Users\jl82323\Box\Shyam Shankar Quantum Circuits Group\Users\Users_JianJun\cqed_based_study\studies\native_rich_multitone_sqr_cpsqr_feasibility\artifacts\cases\chi_only_smooth_x_na2_chiT3p0_reduced_unitary_direct.json,full_ideal_sqr_success,C:\Users\jl82323\Box\Shyam Shankar Quantum Circuits Group\Users\Users_JianJun\cqed_based_study\studies\native_rich_multitone_sqr_cpsqr_feasibility\data\study_results.csv
