rank,construction,ansatz,envelope,duration_ns,n_active,f_unitary,f_decoherence,f_practical,mean_abs_eps_z,mean_abs_eps_perp,parameter_count,study,case_id
1,two-segment direct,symmetric two segment,rich envelope,352.112676056338,2,0.9883254553436998,0.9813958904975115,0.9699385403483888,0.15949907772409416,0.1406560502120408,12,native_rich_multitone_sqr_cpsqr_feasibility,chi_plus_chiprime_smooth_x_na2_chiT1p0
2,direct,reduced unitary direct,gaussian,352.112676056338,2,0.9791211578707528,0.9813958904975115,0.960905480633522,0.17276012842853553,0.20108732663522644,6,native_rich_multitone_sqr_cpsqr_feasibility,chi_plus_chiprime_smooth_x_na2_chiT1p0
3,direct,reduced unitary direct,gaussian,352.112676056338,2,0.9791210955554152,0.9813958904975115,0.9609054194775057,0.17275151397541624,0.2011078983773121,6,native_rich_multitone_sqr_cpsqr_feasibility,chi_only_smooth_x_na2_chiT1p0
4,direct,native direct strict,gaussian,352.112676056338,2,0.9790304973566366,0.9813958904975115,0.9608165067775379,0.18550816201609255,0.18916648337243944,6,native_rich_multitone_sqr_cpsqr_feasibility,chi_plus_chiprime_smooth_x_na2_chiT1p0
5,direct,native direct strict,gaussian,352.112676056338,2,0.9790298670812734,0.9813958904975115,0.9608158882278867,0.1855669075133652,0.1890939763513408,6,native_rich_multitone_sqr_cpsqr_feasibility,chi_only_smooth_x_na2_chiT1p0
6,two-segment direct,symmetric two segment,rich envelope,352.112676056338,2,0.9740909711153792,0.9813958904975115,0.9559688760233633,0.11296864293939202,0.29746099680359056,12,native_rich_multitone_sqr_cpsqr_feasibility,chi_plus_chiprime_staggered_x_na2_chiT1p0
7,direct,reduced unitary direct,gaussian,704.225352112676,2,0.986582983399486,0.9631378938854035,0.950215456774559,0.17886649260440352,0.1390198459316048,6,native_rich_multitone_sqr_cpsqr_feasibility,chi_plus_chiprime_smooth_x_na2_chiT2p0
8,direct,reduced unitary direct,gaussian,704.225352112676,2,0.9865829833981764,0.9631378938854035,0.9502154567732977,0.17886656675680573,0.13901973095333706,6,native_rich_multitone_sqr_cpsqr_feasibility,chi_only_smooth_x_na2_chiT2p0
9,direct,native direct strict,gaussian,704.225352112676,2,0.9865290481280504,0.9631378938854035,0.9501635096708223,0.18805967150226655,0.1274821330425486,6,native_rich_multitone_sqr_cpsqr_feasibility,chi_plus_chiprime_smooth_x_na2_chiT2p0
10,direct,native direct strict,gaussian,704.225352112676,2,0.986529035680657,0.9631378938854035,0.950163497682266,0.18806062754958572,0.12748086245394785,6,native_rich_multitone_sqr_cpsqr_feasibility,chi_only_smooth_x_na2_chiT2p0
